danio_rerio ENSDARG00000102068
astyanax_mexicanus ENSAMXG00000036370
esox_lucius ENSELUG00000019767
gasterosteus_aculeatus ENSGACG00000014127
labrus_bergylta ENSLBEG00000018714
takifugu_rubripes ENSTRUG00000000594
tetraodon_nigroviridis ENSTNIG00000005255
mola_mola ENSMMOG00000006447
maylandia_zebra ENSMZEG00005023760
astatotilapia_calliptera ENSACLG00000010482
haplochromis_burtoni ENSHBUG00000012329
pundamilia_nyererei ENSPNYG00000012729
neolamprologus_brichardi ENSNBRG00000023595
oreochromis_niloticus ENSONIG00000005403
amphilophus_citrinellus ENSACIG00000008357
amphiprion_ocellaris ENSAOCG00000006469
amphiprion_percula ENSAPEG00000000243
acanthochromis_polyacanthus ENSAPOG00000020944
stegastes_partitus ENSSPAG00000012600
fundulus_heteroclitus ENSFHEG00000019051
cyprinodon_variegatus ENSCVAG00000019201
xiphophorus_maculatus ENSXMAG00000001155
xiphophorus_couchianus ENSXCOG00000017769
poecilia_formosa ENSPFOG00000010794
poecilia_latipinna ENSPLAG00000010010
poecilia_mexicana ENSPMEG00000005848
poecilia_reticulata ENSPREG00000002607
gambusia_affinis ENSGAFG00000016838
kryptolebias_marmoratus ENSKMAG00000013021
oryzias_latipes_asm223471v1 ENSORLG00020015832
oryzias_latipes_asm223467v1 ENSORLG00000018293
oryzias_latipes_asm223469v1 ENSORLG00015013228
oryzias_melastigma ENSOMEG00000021893
monopterus_albus ENSMALG00000006844
mastacembelus_armatus ENSMAMG00000009950
anabas_testudineus ENSATEG00000009675
seriola_dumerili ENSSDUG00000013119
seriola_lalandi_dorsalis ENSSLDG00000014511
cynoglossus_semilaevis ENSCSEG00000007341
hippocampus_comes ENSHCOG00000000775
periophthalmus_magnuspinnatus ENSPMGG00000000383
gadus_morhua ENSGMOG00000001246
xenopus_tropicalis ENSXETG00000017069
drosophila_melanogaster FBgn0032848
