amphiprion_ocellaris ENSAOCG00000001786
amphiprion_percula ENSAPEG00000003978
acanthochromis_polyacanthus ENSAPOG00000019252
stegastes_partitus ENSSPAG00000021821
oryzias_latipes_asm223467v1 ENSORLG00000028667
oryzias_latipes_asm223469v1 ENSORLG00015019376
oryzias_latipes_asm223471v1 ENSORLG00020021992
gasterosteus_aculeatus ENSGACG00000010184
cynoglossus_semilaevis ENSCSEG00000014817
poecilia_mexicana ENSPMEG00000014715
poecilia_latipinna ENSPLAG00000017273
poecilia_reticulata ENSPREG00000016001
xiphophorus_couchianus ENSXCOG00000002681
xiphophorus_maculatus ENSXMAG00000027607
gambusia_affinis ENSGAFG00000013756
kryptolebias_marmoratus ENSKMAG00000022130
pundamilia_nyererei ENSPNYG00000006384
maylandia_zebra ENSMZEG00005002634
haplochromis_burtoni ENSHBUG00000023275
oreochromis_niloticus ENSONIG00000001747
amphilophus_citrinellus ENSACIG00000012044
labrus_bergylta ENSLBEG00000004377
stegastes_partitus ENSSPAG00000021811
seriola_lalandi_dorsalis ENSSLDG00000017018
seriola_dumerili ENSSDUG00000002370
mastacembelus_armatus ENSMAMG00000005668
anabas_testudineus ENSATEG00000009212
monopterus_albus ENSMALG00000014154
scophthalmus_maximus ENSSMAG00000003894
mola_mola ENSMMOG00000019606
astatotilapia_calliptera ENSACLG00000020415
neolamprologus_brichardi ENSNBRG00000016138
hippocampus_comes ENSHCOG00000019838
periophthalmus_magnuspinnatus ENSPMGG00000012797
gadus_morhua ENSGMOG00000014158
pygocentrus_nattereri ENSPNAG00000018663
astyanax_mexicanus ENSAMXG00000036119
ictalurus_punctatus ENSIPUG00000016183
danio_rerio ENSDARG00000043309
paramormyrops_kingsleyae ENSPKIG00000005403
chelonoidis_abingdonii ENSCABG00000003005
nothoprocta_perdicaria ENSNPEG00000009095
anolis_carolinensis ENSACAG00000006816
latimeria_chalumnae ENSLACG00000010690
