mesocricetus_auratus ENSMAUG00000008135
microtus_ochrogaster ENSMOCG00000022937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021309
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020415
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016123
meriones_unguiculatus ENSMUGG00000016623
nannospalax_galili ENSNGAG00000021154
jaculus_jaculus ENSJJAG00000017657
dipodomys_ordii ENSDORG00000011983
cavia_porcellus ENSCPOG00000000618
octodon_degus ENSODEG00000011995
theropithecus_gelada ENSTGEG00000012987
ursus_maritimus ENSUMAG00000002979
