xiphophorus_maculatus ENSXMAG00000024410
gambusia_affinis ENSGAFG00000006324
poecilia_reticulata ENSPREG00000021373
fundulus_heteroclitus ENSFHEG00000002992
kryptolebias_marmoratus ENSKMAG00000011532
oryzias_latipes_asm223467v1 ENSORLG00000024184
oryzias_latipes_asm223469v1 ENSORLG00015012762
oryzias_melastigma ENSOMEG00000004502
amphilophus_citrinellus ENSACIG00000014072
amphiprion_percula ENSAPEG00000014599
amphiprion_ocellaris ENSAOCG00000008691
stegastes_partitus ENSSPAG00000006375
seriola_lalandi_dorsalis ENSSLDG00000014071
seriola_dumerili ENSSDUG00000002881
scophthalmus_maximus ENSSMAG00000018526
mastacembelus_armatus ENSMAMG00000002471
esox_lucius ENSELUG00000016572
pygocentrus_nattereri ENSPNAG00000010756
astyanax_mexicanus ENSAMXG00000002335
ictalurus_punctatus ENSIPUG00000005514
danio_rerio ENSDARG00000105048
scleropages_formosus ENSSFOG00015018901
paramormyrops_kingsleyae ENSPKIG00000023099
lepisosteus_oculatus ENSLOCG00000011059
gopherus_agassizii ENSGAGG00000002233
chrysemys_picta_bellii ENSCPBG00000025328
