caenorhabditis_elegans_strain_n2 WBGene00015813
drosophila_melanogaster FBgn0029899
myotis_lucifugus ENSMLUG00000026072
myotis_lucifugus ENSMLUG00000028256
myotis_lucifugus ENSMLUG00000027559
myotis_lucifugus ENSMLUG00000013656
pteropus_vampyrus ENSPVAG00000006132
ursus_americanus ENSUAMG00000008780
ursus_maritimus ENSUMAG00000024014
ailuropoda_melanoleuca ENSAMEG00000014841
neovison_vison ENSNVIG00000023027
mustela_putorius_furo ENSMPUG00000001357
canis_lupus_dingo ENSCAFG00020002284
canis_lupus_familiaris ENSCAFG00000018574
vulpes_vulpes ENSVVUG00000028282
panthera_pardus ENSPPRG00000023137
panthera_tigris_altaica ENSPTIG00000006983
felis_catus ENSFCAG00000008301
equus_caballus ENSECAG00000010431
equus_asinus_asinus ENSEASG00005017399
bos_taurus ENSBTAG00000008388
bos_mutus ENSBMUG00000022954
ovis_aries ENSOARG00000013665
capra_hircus ENSCHIG00000017733
capra_hircus ENSCHIG00000025851
ovis_aries ENSOARG00000003614
bison_bison_bison ENSBBBG00000006038
bos_taurus ENSBTAG00000047341
tursiops_truncatus ENSTTRG00000002762
sus_scrofa ENSSSCG00000012639
vicugna_pacos ENSVPAG00000006247
bos_mutus ENSBMUG00000017618
erinaceus_europaeus ENSEEUG00000015598
sorex_araneus ENSSARG00000005799
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015509
cricetulus_griseus_crigri-picr ENSCGRG00015014602
cricetulus_griseus_crigri_1.0 ENSCGRG00000001226
mesocricetus_auratus ENSMAUG00000002356
peromyscus_maniculatus_bairdii ENSPEMG00000007626
microtus_ochrogaster ENSMOCG00000009946
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037475
mus_spicilegus ENSMSIG00000024519
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034181
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033023
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031569
rattus_norvegicus ENSRNOG00000007315
nannospalax_galili ENSNGAG00000016184
jaculus_jaculus ENSJJAG00000017282
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079065
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028479
mus_spicilegus ENSMSIG00000005173
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027482
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017260
rattus_norvegicus ENSRNOG00000042340
meriones_unguiculatus ENSMUGG00000015572
cricetulus_griseus_crigri-picr ENSCGRG00015012546
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009811
cricetulus_griseus_crigri_1.0 ENSCGRG00000000980
microtus_ochrogaster ENSMOCG00000019406
peromyscus_maniculatus_bairdii ENSPEMG00000011125
nannospalax_galili ENSNGAG00000010936
jaculus_jaculus ENSJJAG00000008784
castor_canadensis ENSCCNG00000021797
chinchilla_lanigera ENSCLAG00000002641
octodon_degus ENSODEG00000002478
cavia_porcellus ENSCPOG00000038670
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011595
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009292
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004222
fukomys_damarensis ENSFDAG00000017237
spermophilus_dauricus ENSSDAG00000013515
ictidomys_tridecemlineatus ENSSTOG00000009134
urocitellus_parryii ENSUPAG00010006443
marmota_marmota_marmota ENSMMMG00000006302
dipodomys_ordii ENSDORG00000027353
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002878
meriones_unguiculatus ENSMUGG00000024397
oryctolagus_cuniculus ENSOCUG00000005996
ochotona_princeps ENSOPRG00000018222
pan_troglodytes ENSPTRG00000022246
pan_paniscus ENSPPAG00000040720
homo_sapiens ENSG00000125676
pongo_abelii ENSPPYG00000020695
gorilla_gorilla ENSGGOG00000000486
nomascus_leucogenys ENSNLEG00000015055
mandrillus_leucophaeus ENSMLEG00000034817
cercocebus_atys ENSCATG00000003183
theropithecus_gelada ENSTGEG00000021308
macaca_fascicularis ENSMFAG00000042215
macaca_nemestrina ENSMNEG00000033627
macaca_mulatta ENSMMUG00000003745
chlorocebus_sabaeus ENSCSAG00000018332
papio_anubis ENSPANG00000004038
colobus_angolensis_palliatus ENSCANG00000035077
piliocolobus_tephrosceles ENSPTEG00000026837
rhinopithecus_roxellana ENSRROG00000041515
rhinopithecus_bieti ENSRBIG00000044129
