mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076865
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002239
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002392
mus_spicilegus ENSMSIG00000016039
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002098
cricetulus_griseus_crigri-picr ENSCGRG00015020456
cricetulus_griseus_crigri-picr ENSCGRG00015020469
urocitellus_parryii ENSUPAG00010011423
bos_taurus ENSBTAG00000052011
bos_taurus ENSBTAG00000049985
bison_bison_bison ENSBBBG00000017109
bison_bison_bison ENSBBBG00000014715
bison_bison_bison ENSBBBG00000024277
ovis_aries ENSOARG00000019465
sus_scrofa ENSSSCG00000038317
sus_scrofa ENSSSCG00000040210
myotis_lucifugus ENSMLUG00000025899
ailuropoda_melanoleuca ENSAMEG00000002914
neovison_vison ENSNVIG00000020461
canis_lupus_dingo ENSCAFG00020007919
canis_lupus_familiaris ENSCAFG00000025180
equus_asinus_asinus ENSEASG00005011670
