cebus_capucinus_imitator ENSCCAG00000025927
saimiri_boliviensis_boliviensis ENSSBOG00000019215
callithrix_jacchus ENSCJAG00000044522
pan_troglodytes ENSPTRG00000020664
pan_paniscus ENSPPAG00000037301
homo_sapiens ENSG00000181135
gorilla_gorilla ENSGGOG00000012835
pongo_abelii ENSPPYG00000018943
nomascus_leucogenys ENSNLEG00000002107
piliocolobus_tephrosceles ENSPTEG00000025731
colobus_angolensis_palliatus ENSCANG00000042594
rhinopithecus_bieti ENSRBIG00000023183
rhinopithecus_roxellana ENSRROG00000036037
macaca_nemestrina ENSMNEG00000045326
macaca_fascicularis ENSMFAG00000042318
macaca_mulatta ENSMMUG00000018301
theropithecus_gelada ENSTGEG00000017126
papio_anubis ENSPANG00000034925
cercocebus_atys ENSCATG00000010870
mandrillus_leucophaeus ENSMLEG00000025734
chlorocebus_sabaeus ENSCSAG00000008938
