maylandia_zebra ENSMZEG00005015860
astatotilapia_calliptera ENSACLG00000019798
pundamilia_nyererei ENSPNYG00000004578
haplochromis_burtoni ENSHBUG00000003667
amphilophus_citrinellus ENSACIG00000008471
acanthochromis_polyacanthus ENSAPOG00000021739
amphiprion_percula ENSAPEG00000004289
poecilia_latipinna ENSPLAG00000019014
poecilia_formosa ENSPFOG00000024568
poecilia_reticulata ENSPREG00000017676
xiphophorus_couchianus ENSXCOG00000019529
poecilia_mexicana ENSPMEG00000023140
gambusia_affinis ENSGAFG00000014747
cyprinodon_variegatus ENSCVAG00000022543
fundulus_heteroclitus ENSFHEG00000021416
kryptolebias_marmoratus ENSKMAG00000001749
monopterus_albus ENSMALG00000020924
mola_mola ENSMMOG00000003951
seriola_lalandi_dorsalis ENSSLDG00000015713
seriola_dumerili ENSSDUG00000006458
takifugu_rubripes ENSTRUG00000025011
mastacembelus_armatus ENSMAMG00000014691
periophthalmus_magnuspinnatus ENSPMGG00000007742
