astyanax_mexicanus ENSAMXG00000042929
pygocentrus_nattereri ENSPNAG00000024169
danio_rerio ENSDARG00000099981
stegastes_partitus ENSSPAG00000015057
acanthochromis_polyacanthus ENSAPOG00000019716
xiphophorus_couchianus ENSXCOG00000020102
xiphophorus_maculatus ENSXMAG00000029790
poecilia_mexicana ENSPMEG00000021751
fundulus_heteroclitus ENSFHEG00000013462
kryptolebias_marmoratus ENSKMAG00000006293
oryzias_latipes_asm223467v1 ENSORLG00000022650
oryzias_latipes_asm223469v1 ENSORLG00015013577
oryzias_latipes_asm223471v1 ENSORLG00020005878
oryzias_melastigma ENSOMEG00000011828
amphilophus_citrinellus ENSACIG00000010944
haplochromis_burtoni ENSHBUG00000003013
pundamilia_nyererei ENSPNYG00000011190
maylandia_zebra ENSMZEG00005004426
astatotilapia_calliptera ENSACLG00000016865
poecilia_reticulata ENSPREG00000007389
gambusia_affinis ENSGAFG00000011002
hippocampus_comes ENSHCOG00000019335
neolamprologus_brichardi ENSNBRG00000012401
scophthalmus_maximus ENSSMAG00000008489
cynoglossus_semilaevis ENSCSEG00000017994
seriola_dumerili ENSSDUG00000010740
seriola_lalandi_dorsalis ENSSLDG00000012650
mastacembelus_armatus ENSMAMG00000013163
labrus_bergylta ENSLBEG00000003060
mola_mola ENSMMOG00000019061
periophthalmus_magnuspinnatus ENSPMGG00000001741
esox_lucius ENSELUG00000007048
paramormyrops_kingsleyae ENSPKIG00000001645
scleropages_formosus ENSSFOG00015011175
