neolamprologus_brichardi ENSNBRG00000009861
oryzias_latipes_asm223469v1 ENSORLG00015014793
amphiprion_percula ENSAPEG00000017857
amphiprion_ocellaris ENSAOCG00000009613
acanthochromis_polyacanthus ENSAPOG00000011726
stegastes_partitus ENSSPAG00000018637
labrus_bergylta ENSLBEG00000007288
periophthalmus_magnuspinnatus ENSPMGG00000022492
scophthalmus_maximus ENSSMAG00000002069
poecilia_formosa ENSPFOG00000003005
gasterosteus_aculeatus ENSGACG00000006401
gadus_morhua ENSGMOG00000004391
poecilia_formosa ENSPFOG00000022393
astyanax_mexicanus ENSAMXG00000034316
pygocentrus_nattereri ENSPNAG00000025880
