dasypus_novemcinctus ENSDNOG00000003655
choloepus_hoffmanni ENSCHOG00000013450
loxodonta_africana ENSLAFG00000000689
procavia_capensis ENSPCAG00000015450
echinops_telfairi ENSETEG00000014319
pan_troglodytes ENSPTRG00000013890
pan_paniscus ENSPPAG00000028947
homo_sapiens ENSG00000159256
gorilla_gorilla ENSGGOG00000011974
pongo_abelii ENSPPYG00000011402
nomascus_leucogenys ENSNLEG00000004420
piliocolobus_tephrosceles ENSPTEG00000003786
colobus_angolensis_palliatus ENSCANG00000005004
rhinopithecus_roxellana ENSRROG00000027382
rhinopithecus_bieti ENSRBIG00000030969
papio_anubis ENSPANG00000009396
cercocebus_atys ENSCATG00000031109
macaca_mulatta ENSMMUG00000020043
mandrillus_leucophaeus ENSMLEG00000027173
macaca_nemestrina ENSMNEG00000028195
theropithecus_gelada ENSTGEG00000025024
macaca_fascicularis ENSMFAG00000042335
chlorocebus_sabaeus ENSCSAG00000008649
saimiri_boliviensis_boliviensis ENSSBOG00000031211
callithrix_jacchus ENSCJAG00000002781
cebus_capucinus_imitator ENSCCAG00000036336
aotus_nancymaae ENSANAG00000038319
carlito_syrichta ENSTSYG00000001677
propithecus_coquereli ENSPCOG00000014065
microcebus_murinus ENSMICG00000007884
prolemur_simus ENSPSMG00000011069
otolemur_garnettii ENSOGAG00000011451
tupaia_belangeri ENSTBEG00000017715
castor_canadensis ENSCCNG00000028535
dipodomys_ordii ENSDORG00000007125
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021889
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039456
mus_spicilegus ENSMSIG00000009666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020983
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016688
rattus_norvegicus ENSRNOG00000026236
meriones_unguiculatus ENSMUGG00000023814
cricetulus_griseus_crigri-picr ENSCGRG00015014914
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017226
cricetulus_griseus_crigri_1.0 ENSCGRG00000010755
mesocricetus_auratus ENSMAUG00000010895
peromyscus_maniculatus_bairdii ENSPEMG00000011221
microtus_ochrogaster ENSMOCG00000013833
nannospalax_galili ENSNGAG00000019866
jaculus_jaculus ENSJJAG00000016940
jaculus_jaculus ENSJJAG00000023251
cavia_porcellus ENSCPOG00000006321
cavia_aperea ENSCAPG00000005549
chinchilla_lanigera ENSCLAG00000006634
octodon_degus ENSODEG00000003893
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018450
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001748
fukomys_damarensis ENSFDAG00000009098
urocitellus_parryii ENSUPAG00010001670
marmota_marmota_marmota ENSMMMG00000002800
ictidomys_tridecemlineatus ENSSTOG00000028859
spermophilus_dauricus ENSSDAG00000008933
oryctolagus_cuniculus ENSOCUG00000026340
ochotona_princeps ENSOPRG00000008932
pteropus_vampyrus ENSPVAG00000011806
myotis_lucifugus ENSMLUG00000012614
bos_mutus ENSBMUG00000022084
bos_taurus ENSBTAG00000011876
bison_bison_bison ENSBBBG00000016952
ovis_aries ENSOARG00000013952
capra_hircus ENSCHIG00000023242
tursiops_truncatus ENSTTRG00000016599
sus_scrofa ENSSSCG00000012055
vicugna_pacos ENSVPAG00000002657
equus_asinus_asinus ENSEASG00005006105
equus_caballus ENSECAG00000015098
ursus_maritimus ENSUMAG00000020612
ursus_americanus ENSUAMG00000018323
ailuropoda_melanoleuca ENSAMEG00000005512
neovison_vison ENSNVIG00000015870
mustela_putorius_furo ENSMPUG00000008213
canis_lupus_familiaris ENSCAFG00000009660
canis_lupus_dingo ENSCAFG00020024440
vulpes_vulpes ENSVVUG00000020082
panthera_tigris_altaica ENSPTIG00000007503
panthera_pardus ENSPPRG00000008818
felis_catus ENSFCAG00000002940
sorex_araneus ENSSARG00000004473
erinaceus_europaeus ENSEEUG00000014702
monodelphis_domestica ENSMODG00000021004
sarcophilus_harrisii ENSSHAG00000005015
notamacropus_eugenii ENSMEUG00000015558
phascolarctos_cinereus ENSPCIG00000005634
ornithorhynchus_anatinus ENSOANG00000009766
anser_brachyrhynchus ENSABRG00000007044
anas_platyrhynchos_platyrhynchos ENSAPLG00000014621
gallus_gallus ENSGALG00000036556
meleagris_gallopavo ENSMGAG00000014539
coturnix_japonica ENSCJPG00005007588
numida_meleagris ENSNMEG00000012726
lonchura_striata_domestica ENSLSDG00000005152
lonchura_striata_domestica ENSLSDG00000008186
taeniopygia_guttata ENSTGUG00000004803
serinus_canaria ENSSCAG00000010568
junco_hyemalis ENSJHYG00000002451
zonotrichia_albicollis ENSZALG00000004219
ficedula_albicollis ENSFALG00000010420
parus_major ENSPMJG00000009450
cyanistes_caeruleus ENSCCEG00000017228
manacus_vitellinus ENSMVIG00005015448
manacus_vitellinus ENSMVIG00005007768
lepidothrix_coronata ENSLCOG00000013613
melopsittacus_undulatus ENSMUNG00000008435
