canis_lupus_dingo ENSCAFG00020009954
vulpes_vulpes ENSVVUG00000000377
neovison_vison ENSNVIG00000016688
ursus_maritimus ENSUMAG00000016409
panthera_pardus ENSPPRG00000023584
panthera_tigris_altaica ENSPTIG00000012872
spermophilus_dauricus ENSSDAG00000016646
marmota_marmota_marmota ENSMMMG00000005384
urocitellus_parryii ENSUPAG00010000535
peromyscus_maniculatus_bairdii ENSPEMG00000027576
cricetulus_griseus_crigri-picr ENSCGRG00015025040
meriones_unguiculatus ENSMUGG00000001015
papio_anubis ENSPANG00000032357
mandrillus_leucophaeus ENSMLEG00000032543
macaca_mulatta ENSMMUG00000046433
prolemur_simus ENSPSMG00000013013
