gambusia_affinis ENSGAFG00000000927
xiphophorus_maculatus ENSXMAG00000006542
poecilia_formosa ENSPFOG00000024353
poecilia_latipinna ENSPLAG00000007108
poecilia_reticulata ENSPREG00000005353
poecilia_mexicana ENSPMEG00000022231
fundulus_heteroclitus ENSFHEG00000013764
kryptolebias_marmoratus ENSKMAG00000009261
acanthochromis_polyacanthus ENSAPOG00000008272
amphiprion_percula ENSAPEG00000023655
stegastes_partitus ENSSPAG00000021551
maylandia_zebra ENSMZEG00005019347
astatotilapia_calliptera ENSACLG00000011449
oreochromis_niloticus ENSONIG00000018026
anabas_testudineus ENSATEG00000023386
monopterus_albus ENSMALG00000000793
seriola_dumerili ENSSDUG00000015032
scophthalmus_maximus ENSSMAG00000009182
labrus_bergylta ENSLBEG00000009655
mastacembelus_armatus ENSMAMG00000019046
gasterosteus_aculeatus ENSGACG00000000708
oryzias_latipes_asm223467v1 ENSORLG00000028525
esox_lucius ENSELUG00000013414
pygocentrus_nattereri ENSPNAG00000027823
astyanax_mexicanus ENSAMXG00000004161
ictalurus_punctatus ENSIPUG00000015728
danio_rerio ENSDARG00000045675
paramormyrops_kingsleyae ENSPKIG00000022365
scleropages_formosus ENSSFOG00015016724
lepisosteus_oculatus ENSLOCG00000016177
capra_hircus ENSCHIG00000023484
ovis_aries ENSOARG00000001333
bos_mutus ENSBMUG00000011557
bos_taurus ENSBTAG00000019738
bison_bison_bison ENSBBBG00000002522
tursiops_truncatus ENSTTRG00000006522
sus_scrofa ENSSSCG00000000483
vicugna_pacos ENSVPAG00000000926
ursus_maritimus ENSUMAG00000020713
sus_scrofa ENSSSCG00000032767
pteropus_vampyrus ENSPVAG00000015055
myotis_lucifugus ENSMLUG00000002713
erinaceus_europaeus ENSEEUG00000013751
equus_caballus ENSECAG00000000713
equus_asinus_asinus ENSEASG00005008018
sorex_araneus ENSSARG00000012919
ursus_maritimus ENSUMAG00000020708
ursus_americanus ENSUAMG00000019162
ailuropoda_melanoleuca ENSAMEG00000008648
neovison_vison ENSNVIG00000010043
mustela_putorius_furo ENSMPUG00000017509
canis_lupus_dingo ENSCAFG00020017014
canis_lupus_familiaris ENSCAFG00000000412
vulpes_vulpes ENSVVUG00000010202
panthera_pardus ENSPPRG00000007897
panthera_tigris_altaica ENSPTIG00000020044
felis_catus ENSFCAG00000022390
castor_canadensis ENSCCNG00000006760
dipodomys_ordii ENSDORG00000001536
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020212
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016663
mus_spicilegus ENSMSIG00000022673
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015840
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031247
rattus_norvegicus ENSRNOG00000007286
meriones_unguiculatus ENSMUGG00000003906
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009239
cricetulus_griseus_crigri_1.0 ENSCGRG00000008706
cricetulus_griseus_crigri-picr ENSCGRG00015004518
mesocricetus_auratus ENSMAUG00000015500
microtus_ochrogaster ENSMOCG00000013362
peromyscus_maniculatus_bairdii ENSPEMG00000011077
nannospalax_galili ENSNGAG00000009872
jaculus_jaculus ENSJJAG00000022993
cavia_porcellus ENSCPOG00000027490
chinchilla_lanigera ENSCLAG00000011182
fukomys_damarensis ENSFDAG00000021351
urocitellus_parryii ENSUPAG00010023318
spermophilus_dauricus ENSSDAG00000003497
ictidomys_tridecemlineatus ENSSTOG00000022138
marmota_marmota_marmota ENSMMMG00000006024
oryctolagus_cuniculus ENSOCUG00000001665
ochotona_princeps ENSOPRG00000017265
tupaia_belangeri ENSTBEG00000000676
pan_paniscus ENSPPAG00000031903
pan_troglodytes ENSPTRG00000005196
homo_sapiens ENSG00000111554
gorilla_gorilla ENSGGOG00000003147
pongo_abelii ENSPPYG00000004750
nomascus_leucogenys ENSNLEG00000003541
macaca_nemestrina ENSMNEG00000034526
macaca_mulatta ENSMMUG00000018725
macaca_fascicularis ENSMFAG00000044312
papio_anubis ENSPANG00000024918
theropithecus_gelada ENSTGEG00000021988
cercocebus_atys ENSCATG00000031072
mandrillus_leucophaeus ENSMLEG00000038274
chlorocebus_sabaeus ENSCSAG00000004322
piliocolobus_tephrosceles ENSPTEG00000032025
colobus_angolensis_palliatus ENSCANG00000029495
rhinopithecus_roxellana ENSRROG00000031790
rhinopithecus_bieti ENSRBIG00000035813
saimiri_boliviensis_boliviensis ENSSBOG00000018566
cebus_capucinus_imitator ENSCCAG00000026172
callithrix_jacchus ENSCJAG00000007230
aotus_nancymaae ENSANAG00000022518
carlito_syrichta ENSTSYG00000030718
prolemur_simus ENSPSMG00000002086
microcebus_murinus ENSMICG00000003661
propithecus_coquereli ENSPCOG00000027405
otolemur_garnettii ENSOGAG00000004314
choloepus_hoffmanni ENSCHOG00000003561
dasypus_novemcinctus ENSDNOG00000005989
loxodonta_africana ENSLAFG00000002099
procavia_capensis ENSPCAG00000004641
echinops_telfairi ENSETEG00000011302
notamacropus_eugenii ENSMEUG00000016146
phascolarctos_cinereus ENSPCIG00000025044
sarcophilus_harrisii ENSSHAG00000002605
monodelphis_domestica ENSMODG00000028079
ornithorhynchus_anatinus ENSOANG00000005935
anolis_carolinensis ENSACAG00000003908
pogona_vitticeps ENSPVIG00000025437
notechis_scutatus ENSNSUG00000004123
salvator_merianae ENSSMRG00000017108
sphenodon_punctatus ENSSPUG00000000428
chelonoidis_abingdonii ENSCABG00000016582
gopherus_agassizii ENSGAGG00000024610
chrysemys_picta_bellii ENSCPBG00000013309
pelodiscus_sinensis ENSPSIG00000016538
calidris_pugnax ENSCPUG00000004606
calidris_pygmaea ENSCPGG00000016553
taeniopygia_guttata ENSTGUG00000006738
taeniopygia_guttata ENSTGUG00000014755
lonchura_striata_domestica ENSLSDG00000003550
lonchura_striata_domestica ENSLSDG00000016179
serinus_canaria ENSSCAG00000002868
zonotrichia_albicollis ENSZALG00000009819
junco_hyemalis ENSJHYG00000007844
ficedula_albicollis ENSFALG00000010095
parus_major ENSPMJG00000012615
