dromaius_novaehollandiae ENSDNVG00000015906
nothoprocta_perdicaria ENSNPEG00000008733
apteryx_rowi ENSARWG00000008762
calidris_pygmaea ENSCPGG00000006274
calidris_pugnax ENSCPUG00000005994
lonchura_striata_domestica ENSLSDG00000006840
junco_hyemalis ENSJHYG00000009703
taeniopygia_guttata ENSTGUG00000013341
serinus_canaria ENSSCAG00000014630
parus_major ENSPMJG00000010097
cyanistes_caeruleus ENSCCEG00000015105
lepidothrix_coronata ENSLCOG00000002002
manacus_vitellinus ENSMVIG00005012326
ficedula_albicollis ENSFALG00000004846
zonotrichia_albicollis ENSZALG00000018006
melopsittacus_undulatus ENSMUNG00000004721
gallus_gallus ENSGALG00000049853
meleagris_gallopavo ENSMGAG00000014091
coturnix_japonica ENSCJPG00005016714
numida_meleagris ENSNMEG00000016909
anser_brachyrhynchus ENSABRG00000012750
anas_platyrhynchos_platyrhynchos ENSAPLG00000013048
crocodylus_porosus ENSCPRG00005008021
gopherus_agassizii ENSGAGG00000015362
chelonoidis_abingdonii ENSCABG00000001666
chrysemys_picta_bellii ENSCPBG00000000451
sphenodon_punctatus ENSSPUG00000015408
pogona_vitticeps ENSPVIG00000011967
anolis_carolinensis ENSACAG00000006678
notechis_scutatus ENSNSUG00000015747
pogona_vitticeps ENSPVIG00000009787
salvator_merianae ENSSMRG00000011272
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014055
cricetulus_griseus_crigri_1.0 ENSCGRG00000015748
cricetulus_griseus_crigri-picr ENSCGRG00015003718
mesocricetus_auratus ENSMAUG00000013113
peromyscus_maniculatus_bairdii ENSPEMG00000006934
microtus_ochrogaster ENSMOCG00000019201
mus_spicilegus ENSMSIG00000006906
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029917
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030337
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028874
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022635
rattus_norvegicus ENSRNOG00000019219
nannospalax_galili ENSNGAG00000011610
chinchilla_lanigera ENSCLAG00000012860
octodon_degus ENSODEG00000004453
cavia_aperea ENSCAPG00000012573
cavia_porcellus ENSCPOG00000008473
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008266
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001867
fukomys_damarensis ENSFDAG00000011827
oryctolagus_cuniculus ENSOCUG00000021107
ochotona_princeps ENSOPRG00000012475
carlito_syrichta ENSTSYG00000000280
ictidomys_tridecemlineatus ENSSTOG00000007482
urocitellus_parryii ENSUPAG00010013015
marmota_marmota_marmota ENSMMMG00000017864
spermophilus_dauricus ENSSDAG00000015474
castor_canadensis ENSCCNG00000025246
prolemur_simus ENSPSMG00000017542
propithecus_coquereli ENSPCOG00000024868
microcebus_murinus ENSMICG00000006507
otolemur_garnettii ENSOGAG00000012088
pan_troglodytes ENSPTRG00000004574
pan_paniscus ENSPPAG00000034853
homo_sapiens ENSG00000139190
rhinopithecus_bieti ENSRBIG00000037948
colobus_angolensis_palliatus ENSCANG00000035567
macaca_fascicularis ENSMFAG00000035441
macaca_nemestrina ENSMNEG00000006897
mandrillus_leucophaeus ENSMLEG00000042043
cercocebus_atys ENSCATG00000037454
theropithecus_gelada ENSTGEG00000010253
papio_anubis ENSPANG00000024944
chlorocebus_sabaeus ENSCSAG00000010592
rhinopithecus_roxellana ENSRROG00000035855
gorilla_gorilla ENSGGOG00000036332
nomascus_leucogenys ENSNLEG00000003714
pongo_abelii ENSPPYG00000004187
piliocolobus_tephrosceles ENSPTEG00000038565
cebus_capucinus_imitator ENSCCAG00000030242
myotis_lucifugus ENSMLUG00000014307
pteropus_vampyrus ENSPVAG00000012565
ursus_americanus ENSUAMG00000022540
ailuropoda_melanoleuca ENSAMEG00000014438
vulpes_vulpes ENSVVUG00000012024
canis_lupus_familiaris ENSCAFG00000015138
mustela_putorius_furo ENSMPUG00000016905
neovison_vison ENSNVIG00000024673
panthera_pardus ENSPPRG00000000234
panthera_tigris_altaica ENSPTIG00000018179
felis_catus ENSFCAG00000036228
equus_caballus ENSECAG00000014602
ursus_maritimus ENSUMAG00000007395
canis_lupus_dingo ENSCAFG00020002856
equus_asinus_asinus ENSEASG00005016161
vicugna_pacos ENSVPAG00000000913
bos_mutus ENSBMUG00000006576
erinaceus_europaeus ENSEEUG00000003223
macaca_mulatta ENSMMUG00000040809
meriones_unguiculatus ENSMUGG00000011864
bison_bison_bison ENSBBBG00000012550
bos_taurus ENSBTAG00000014603
ovis_aries ENSOARG00000008237
capra_hircus ENSCHIG00000014523
tursiops_truncatus ENSTTRG00000014469
loxodonta_africana ENSLAFG00000002104
procavia_capensis ENSPCAG00000009942
dipodomys_ordii ENSDORG00000015989
castor_canadensis ENSCCNG00000025248
callithrix_jacchus ENSCJAG00000044254
saimiri_boliviensis_boliviensis ENSSBOG00000017216
aotus_nancymaae ENSANAG00000037847
tupaia_belangeri ENSTBEG00000000808
sus_scrofa ENSSSCG00000000703
echinops_telfairi ENSETEG00000002527
dasypus_novemcinctus ENSDNOG00000001131
choloepus_hoffmanni ENSCHOG00000001066
phascolarctos_cinereus ENSPCIG00000001751
notamacropus_eugenii ENSMEUG00000015246
sarcophilus_harrisii ENSSHAG00000014764
cynoglossus_semilaevis ENSCSEG00000016940
