loxodonta_africana ENSLAFG00000022726
procavia_capensis ENSPCAG00000012811
bos_taurus ENSBTAG00000012706
bos_mutus ENSBMUG00000012044
bison_bison_bison ENSBBBG00000020253
ovis_aries ENSOARG00000020501
capra_hircus ENSCHIG00000013228
tursiops_truncatus ENSTTRG00000008992
sus_scrofa ENSSSCG00000037108
equus_caballus ENSECAG00000006754
equus_asinus_asinus ENSEASG00005014108
vicugna_pacos ENSVPAG00000003875
ursus_americanus ENSUAMG00000028181
ursus_maritimus ENSUMAG00000004202
ailuropoda_melanoleuca ENSAMEG00000000921
mustela_putorius_furo ENSMPUG00000003359
neovison_vison ENSNVIG00000020325
canis_lupus_dingo ENSCAFG00020006200
canis_lupus_familiaris ENSCAFG00000013704
vulpes_vulpes ENSVVUG00000013295
panthera_pardus ENSPPRG00000002296
panthera_tigris_altaica ENSPTIG00000008237
felis_catus ENSFCAG00000036543
pteropus_vampyrus ENSPVAG00000016239
myotis_lucifugus ENSMLUG00000006162
sorex_araneus ENSSARG00000006905
erinaceus_europaeus ENSEEUG00000012717
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015248
cricetulus_griseus_crigri_1.0 ENSCGRG00000010976
cricetulus_griseus_crigri-picr ENSCGRG00015025197
mesocricetus_auratus ENSMAUG00000021841
microtus_ochrogaster ENSMOCG00000015619
peromyscus_maniculatus_bairdii ENSPEMG00000014761
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021513
mus_spicilegus ENSMSIG00000026405
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033383
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020617
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016322
rattus_norvegicus ENSRNOG00000021992
meriones_unguiculatus ENSMUGG00000015473
nannospalax_galili ENSNGAG00000016807
jaculus_jaculus ENSJJAG00000006636
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017207
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013919
fukomys_damarensis ENSFDAG00000012709
chinchilla_lanigera ENSCLAG00000013765
octodon_degus ENSODEG00000000396
cavia_porcellus ENSCPOG00000001203
cavia_aperea ENSCAPG00000006166
dipodomys_ordii ENSDORG00000012180
castor_canadensis ENSCCNG00000000354
urocitellus_parryii ENSUPAG00010001348
spermophilus_dauricus ENSSDAG00000008888
ictidomys_tridecemlineatus ENSSTOG00000010261
marmota_marmota_marmota ENSMMMG00000009324
oryctolagus_cuniculus ENSOCUG00000000046
ochotona_princeps ENSOPRG00000009022
pan_paniscus ENSPPAG00000031151
pan_troglodytes ENSPTRG00000015724
homo_sapiens ENSG00000175077
gorilla_gorilla ENSGGOG00000001218
pongo_abelii ENSPPYG00000014390
nomascus_leucogenys ENSNLEG00000006684
piliocolobus_tephrosceles ENSPTEG00000010884
colobus_angolensis_palliatus ENSCANG00000038873
rhinopithecus_bieti ENSRBIG00000033795
rhinopithecus_roxellana ENSRROG00000037154
cercocebus_atys ENSCATG00000044988
mandrillus_leucophaeus ENSMLEG00000013687
theropithecus_gelada ENSTGEG00000023278
papio_anubis ENSPANG00000024993
macaca_nemestrina ENSMNEG00000043982
macaca_mulatta ENSMMUG00000020255
macaca_fascicularis ENSMFAG00000021979
chlorocebus_sabaeus ENSCSAG00000009199
cebus_capucinus_imitator ENSCCAG00000038054
saimiri_boliviensis_boliviensis ENSSBOG00000029722
callithrix_jacchus ENSCJAG00000014453
aotus_nancymaae ENSANAG00000024405
carlito_syrichta ENSTSYG00000026602
propithecus_coquereli ENSPCOG00000013656
prolemur_simus ENSPSMG00000018457
microcebus_murinus ENSMICG00000049280
otolemur_garnettii ENSOGAG00000016037
tupaia_belangeri ENSTBEG00000003877
dasypus_novemcinctus ENSDNOG00000007444
phascolarctos_cinereus ENSPCIG00000025264
notamacropus_eugenii ENSMEUG00000004070
monodelphis_domestica ENSMODG00000008542
sarcophilus_harrisii ENSSHAG00000015412
ornithorhynchus_anatinus ENSOANG00000000868
chelonoidis_abingdonii ENSCABG00000004950
