ochotona_princeps ENSOPRG00000006380
oryctolagus_cuniculus ENSOCUG00000029005
pan_troglodytes ENSPTRG00000002073
pan_paniscus ENSPPAG00000037707
gorilla_gorilla ENSGGOG00000012820
nomascus_leucogenys ENSNLEG00000033321
colobus_angolensis_palliatus ENSCANG00000035562
rhinopithecus_bieti ENSRBIG00000031054
macaca_mulatta ENSMMUG00000023088
macaca_nemestrina ENSMNEG00000033684
macaca_fascicularis ENSMFAG00000041300
cercocebus_atys ENSCATG00000033121
papio_anubis ENSPANG00000015422
chlorocebus_sabaeus ENSCSAG00000000270
aotus_nancymaae ENSANAG00000029250
cebus_capucinus_imitator ENSCCAG00000023630
pongo_abelii ENSPPYG00000000141
carlito_syrichta ENSTSYG00000006833
procavia_capensis ENSPCAG00000006677
notamacropus_eugenii ENSMEUG00000007434
erinaceus_europaeus ENSEEUG00000013297
gallus_gallus ENSGALG00000019570
