mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029564
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028604
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027606
mus_spicilegus ENSMSIG00000010255
rattus_norvegicus ENSRNOG00000021364
meriones_unguiculatus ENSMUGG00000000960
cricetulus_griseus_crigri_1.0 ENSCGRG00000016425
cricetulus_griseus_crigri-picr ENSCGRG00015001481
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007212
mesocricetus_auratus ENSMAUG00000012403
microtus_ochrogaster ENSMOCG00000023019
peromyscus_maniculatus_bairdii ENSPEMG00000011144
