amphiprion_ocellaris ENSAOCG00000017673
amphiprion_percula ENSAPEG00000004382
acanthochromis_polyacanthus ENSAPOG00000013278
amphiprion_percula ENSAPEG00000009652
stegastes_partitus ENSSPAG00000000858
haplochromis_burtoni ENSHBUG00000004087
maylandia_zebra ENSMZEG00005006364
maylandia_zebra ENSMZEG00005028010
astatotilapia_calliptera ENSACLG00000005322
pundamilia_nyererei ENSPNYG00000004143
astatotilapia_calliptera ENSACLG00000009439
maylandia_zebra ENSMZEG00005028012
maylandia_zebra ENSMZEG00005000062
neolamprologus_brichardi ENSNBRG00000023181
maylandia_zebra ENSMZEG00005006387
astatotilapia_calliptera ENSACLG00000005125
haplochromis_burtoni ENSHBUG00000008625
neolamprologus_brichardi ENSNBRG00000023134
astatotilapia_calliptera ENSACLG00000005702
maylandia_zebra ENSMZEG00005021046
neolamprologus_brichardi ENSNBRG00000023240
astatotilapia_calliptera ENSACLG00000005636
neolamprologus_brichardi ENSNBRG00000023166
oreochromis_niloticus ENSONIG00000008169
neolamprologus_brichardi ENSNBRG00000000422
seriola_lalandi_dorsalis ENSSLDG00000005173
seriola_dumerili ENSSDUG00000001532
anabas_testudineus ENSATEG00000007538
periophthalmus_magnuspinnatus ENSPMGG00000015891
periophthalmus_magnuspinnatus ENSPMGG00000012258
