monodelphis_domestica ENSMODG00000001847
phascolarctos_cinereus ENSPCIG00000025020
sarcophilus_harrisii ENSSHAG00000006820
propithecus_coquereli ENSPCOG00000021754
microcebus_murinus ENSMICG00000017479
prolemur_simus ENSPSMG00000021899
otolemur_garnettii ENSOGAG00000027959
theropithecus_gelada ENSTGEG00000009754
papio_anubis ENSPANG00000015394
mandrillus_leucophaeus ENSMLEG00000035017
macaca_nemestrina ENSMNEG00000043580
macaca_fascicularis ENSMFAG00000039167
chlorocebus_sabaeus ENSCSAG00000010187
cercocebus_atys ENSCATG00000035470
rhinopithecus_roxellana ENSRROG00000042987
rhinopithecus_bieti ENSRBIG00000026240
piliocolobus_tephrosceles ENSPTEG00000031846
colobus_angolensis_palliatus ENSCANG00000035952
pan_troglodytes ENSPTRG00000020567
pan_paniscus ENSPPAG00000031040
homo_sapiens ENSG00000170881
gorilla_gorilla ENSGGOG00000000693
pongo_abelii ENSPPYG00000018867
nomascus_leucogenys ENSNLEG00000005465
cebus_capucinus_imitator ENSCCAG00000032848
saimiri_boliviensis_boliviensis ENSSBOG00000018889
callithrix_jacchus ENSCJAG00000038974
aotus_nancymaae ENSANAG00000019348
tupaia_belangeri ENSTBEG00000005422
castor_canadensis ENSCCNG00000024337
dipodomys_ordii ENSDORG00000008550
marmota_marmota_marmota ENSMMMG00000001759
spermophilus_dauricus ENSSDAG00000020384
urocitellus_parryii ENSUPAG00010008932
ictidomys_tridecemlineatus ENSSTOG00000029108
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020718
mus_spicilegus ENSMSIG00000015345
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037075
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019821
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019830
rattus_norvegicus ENSRNOG00000008987
meriones_unguiculatus ENSMUGG00000018842
cricetulus_griseus_crigri_1.0 ENSCGRG00000019864
cricetulus_griseus_crigri-picr ENSCGRG00015006680
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009533
mesocricetus_auratus ENSMAUG00000017621
peromyscus_maniculatus_bairdii ENSPEMG00000010660
microtus_ochrogaster ENSMOCG00000013793
nannospalax_galili ENSNGAG00000013175
jaculus_jaculus ENSJJAG00000012712
chinchilla_lanigera ENSCLAG00000000511
octodon_degus ENSODEG00000003522
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005311
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008713
fukomys_damarensis ENSFDAG00000020325
cavia_aperea ENSCAPG00000011896
cavia_porcellus ENSCPOG00000002166
oryctolagus_cuniculus ENSOCUG00000017399
ochotona_princeps ENSOPRG00000008073
pteropus_vampyrus ENSPVAG00000009150
myotis_lucifugus ENSMLUG00000026526
ursus_americanus ENSUAMG00000002072
ursus_maritimus ENSUMAG00000022309
ailuropoda_melanoleuca ENSAMEG00000015889
mustela_putorius_furo ENSMPUG00000001276
neovison_vison ENSNVIG00000001824
canis_lupus_familiaris ENSCAFG00000029985
canis_lupus_dingo ENSCAFG00020006506
vulpes_vulpes ENSVVUG00000016792
panthera_pardus ENSPPRG00000024376
panthera_tigris_altaica ENSPTIG00000017048
felis_catus ENSFCAG00000031765
equus_caballus ENSECAG00000008926
equus_asinus_asinus ENSEASG00005022440
capra_hircus ENSCHIG00000021860
ovis_aries ENSOARG00000009072
bos_taurus ENSBTAG00000020399
bos_mutus ENSBMUG00000024446
bison_bison_bison ENSBBBG00000019732
tursiops_truncatus ENSTTRG00000005948
vicugna_pacos ENSVPAG00000006521
sus_scrofa ENSSSCG00000024412
procavia_capensis ENSPCAG00000007501
echinops_telfairi ENSETEG00000013247
loxodonta_africana ENSLAFG00000030934
dasypus_novemcinctus ENSDNOG00000032386
choloepus_hoffmanni ENSCHOG00000005852
ornithorhynchus_anatinus ENSOANG00000014087
anolis_carolinensis ENSACAG00000009979
pogona_vitticeps ENSPVIG00000018337
notechis_scutatus ENSNSUG00000003171
salvator_merianae ENSSMRG00000000599
sphenodon_punctatus ENSSPUG00000017814
apteryx_rowi ENSARWG00000002008
apteryx_haastii ENSAHAG00000017051
apteryx_owenii ENSAOWG00000005535
dromaius_novaehollandiae ENSDNVG00000007963
calidris_pygmaea ENSCPGG00000007836
calidris_pugnax ENSCPUG00000008699
taeniopygia_guttata ENSTGUG00000012474
lonchura_striata_domestica ENSLSDG00000000487
zonotrichia_albicollis ENSZALG00000014493
junco_hyemalis ENSJHYG00000009150
serinus_canaria ENSSCAG00000007482
parus_major ENSPMJG00000011317
cyanistes_caeruleus ENSCCEG00000006388
ficedula_albicollis ENSFALG00000014388
lepidothrix_coronata ENSLCOG00000004513
manacus_vitellinus ENSMVIG00005012448
gallus_gallus ENSGALG00000032734
coturnix_japonica ENSCJPG00005005964
meleagris_gallopavo ENSMGAG00000015869
numida_meleagris ENSNMEG00000008497
anser_brachyrhynchus ENSABRG00000009644
anas_platyrhynchos_platyrhynchos ENSAPLG00000011464
nothoprocta_perdicaria ENSNPEG00000007698
crocodylus_porosus ENSCPRG00005009007
chelonoidis_abingdonii ENSCABG00000004850
