mandrillus_leucophaeus ENSMLEG00000035289
cercocebus_atys ENSCATG00000043667
macaca_nemestrina ENSMNEG00000032876
macaca_mulatta ENSMMUG00000046170
macaca_fascicularis ENSMFAG00000003211
rhinopithecus_bieti ENSRBIG00000037517
rhinopithecus_roxellana ENSRROG00000041210
gorilla_gorilla ENSGGOG00000042398
pan_troglodytes ENSPTRG00000046672
pan_paniscus ENSPPAG00000032911
nomascus_leucogenys ENSNLEG00000030874
colobus_angolensis_palliatus ENSCANG00000031433
cebus_capucinus_imitator ENSCCAG00000030135
