equus_caballus ENSECAG00000004075
myotis_lucifugus ENSMLUG00000029703
bison_bison_bison ENSBBBG00000003832
bos_mutus ENSBMUG00000018604
bos_taurus ENSBTAG00000054351
capra_hircus ENSCHIG00000010834
sus_scrofa ENSSSCG00000032934
ursus_americanus ENSUAMG00000026071
ursus_maritimus ENSUMAG00000003343
ailuropoda_melanoleuca ENSAMEG00000018984
mustela_putorius_furo ENSMPUG00000018710
neovison_vison ENSNVIG00000010777
panthera_pardus ENSPPRG00000024136
panthera_tigris_altaica ENSPTIG00000005970
felis_catus ENSFCAG00000026529
propithecus_coquereli ENSPCOG00000019615
prolemur_simus ENSPSMG00000023005
otolemur_garnettii ENSOGAG00000029409
callithrix_jacchus ENSCJAG00000020070
spermophilus_dauricus ENSSDAG00000014061
ictidomys_tridecemlineatus ENSSTOG00000020170
marmota_marmota_marmota ENSMMMG00000018548
urocitellus_parryii ENSUPAG00010012605
cavia_aperea ENSCAPG00000009931
cavia_porcellus ENSCPOG00000022961
octodon_degus ENSODEG00000000149
chinchilla_lanigera ENSCLAG00000014089
chinchilla_lanigera ENSCLAG00000015371
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009990
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010443
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075379
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024427
mus_spicilegus ENSMSIG00000001316
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023507
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024962
rattus_norvegicus ENSRNOG00000032321
meriones_unguiculatus ENSMUGG00000002695
peromyscus_maniculatus_bairdii ENSPEMG00000005435
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024429
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075378
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023509
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024964
rattus_norvegicus ENSRNOG00000007977
meriones_unguiculatus ENSMUGG00000002679
rattus_norvegicus ENSRNOG00000032102
rattus_norvegicus ENSRNOG00000031803
mus_spicilegus ENSMSIG00000001300
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000083361
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024428
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023508
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024963
nannospalax_galili ENSNGAG00000019594
jaculus_jaculus ENSJJAG00000011225
oryctolagus_cuniculus ENSOCUG00000013830
dasypus_novemcinctus ENSDNOG00000042640
loxodonta_africana ENSLAFG00000026759
monodelphis_domestica ENSMODG00000019712
monodelphis_domestica ENSMODG00000019713
sarcophilus_harrisii ENSSHAG00000004245
sarcophilus_harrisii ENSSHAG00000002997
monodelphis_domestica ENSMODG00000019693
pelodiscus_sinensis ENSPSIG00000013660
pelodiscus_sinensis ENSPSIG00000013630
pelodiscus_sinensis ENSPSIG00000011136
pelodiscus_sinensis ENSPSIG00000002292
pelodiscus_sinensis ENSPSIG00000015044
pelodiscus_sinensis ENSPSIG00000002298
pelodiscus_sinensis ENSPSIG00000017531
pelodiscus_sinensis ENSPSIG00000008839
pelodiscus_sinensis ENSPSIG00000002167
pelodiscus_sinensis ENSPSIG00000010369
pelodiscus_sinensis ENSPSIG00000006809
pelodiscus_sinensis ENSPSIG00000001906
pelodiscus_sinensis ENSPSIG00000001274
pelodiscus_sinensis ENSPSIG00000001400
pelodiscus_sinensis ENSPSIG00000000645
gopherus_agassizii ENSGAGG00000019509
chelonoidis_abingdonii ENSCABG00000016413
