felis_catus ENSFCAG00000041358
panthera_pardus ENSPPRG00000014763
bison_bison_bison ENSBBBG00000009657
bos_mutus ENSBMUG00000000474
pan_troglodytes ENSPTRG00000043908
macaca_mulatta ENSMMUG00000043751
equus_asinus_asinus ENSEASG00005013118
sorex_araneus ENSSARG00000013498
macaca_fascicularis ENSMFAG00000014433
otolemur_garnettii ENSOGAG00000026042
echinops_telfairi ENSETEG00000020204
echinops_telfairi ENSETEG00000013102
nannospalax_galili ENSNGAG00000022884
carlito_syrichta ENSTSYG00000029007
prolemur_simus ENSPSMG00000005108
propithecus_coquereli ENSPCOG00000013909
microcebus_murinus ENSMICG00000047244
equus_caballus ENSECAG00000037839
tupaia_belangeri ENSTBEG00000009339
otolemur_garnettii ENSOGAG00000007982
ailuropoda_melanoleuca ENSAMEG00000019642
ovis_aries ENSOARG00000020081
loxodonta_africana ENSLAFG00000032529
dasypus_novemcinctus ENSDNOG00000013000
sorex_araneus ENSSARG00000013421
sorex_araneus ENSSARG00000010387
sorex_araneus ENSSARG00000002085
erinaceus_europaeus ENSEEUG00000002859
saimiri_boliviensis_boliviensis ENSSBOG00000014343
callithrix_jacchus ENSCJAG00000048888
aotus_nancymaae ENSANAG00000014572
echinops_telfairi ENSETEG00000015858
sorex_araneus ENSSARG00000001066
erinaceus_europaeus ENSEEUG00000006180
nomascus_leucogenys ENSNLEG00000030581
pan_paniscus ENSPPAG00000025220
rhinopithecus_roxellana ENSRROG00000009817
cercocebus_atys ENSCATG00000008805
loxodonta_africana ENSLAFG00000030143
procavia_capensis ENSPCAG00000002599
loxodonta_africana ENSLAFG00000026977
loxodonta_africana ENSLAFG00000025532
echinops_telfairi ENSETEG00000015314
mandrillus_leucophaeus ENSMLEG00000007203
otolemur_garnettii ENSOGAG00000008008
dipodomys_ordii ENSDORG00000025297
sorex_araneus ENSSARG00000010399
tursiops_truncatus ENSTTRG00000013456
erinaceus_europaeus ENSEEUG00000000362
pan_troglodytes ENSPTRG00000044259
propithecus_coquereli ENSPCOG00000004072
sorex_araneus ENSSARG00000003006
sorex_araneus ENSSARG00000013413
tupaia_belangeri ENSTBEG00000005627
monodelphis_domestica ENSMODG00000018763
monodelphis_domestica ENSMODG00000023676
monodelphis_domestica ENSMODG00000008698
notamacropus_eugenii ENSMEUG00000002223
notamacropus_eugenii ENSMEUG00000009839
phascolarctos_cinereus ENSPCIG00000036717
phascolarctos_cinereus ENSPCIG00000033339
phascolarctos_cinereus ENSPCIG00000032592
sarcophilus_harrisii ENSSHAG00000001920
equus_asinus_asinus ENSEASG00005005105
equus_asinus_asinus ENSEASG00005004999
equus_caballus ENSECAG00000033031
ovis_aries ENSOARG00000009247
cebus_capucinus_imitator ENSCCAG00000013789
homo_sapiens ENSG00000196866
microcebus_murinus ENSMICG00000047586
theropithecus_gelada ENSTGEG00000022150
chlorocebus_sabaeus ENSCSAG00000019091
macaca_nemestrina ENSMNEG00000012534
colobus_angolensis_palliatus ENSCANG00000004794
prolemur_simus ENSPSMG00000004881
choloepus_hoffmanni ENSCHOG00000007276
loxodonta_africana ENSLAFG00000026412
loxodonta_africana ENSLAFG00000032165
notamacropus_eugenii ENSMEUG00000000673
echinops_telfairi ENSETEG00000003573
choloepus_hoffmanni ENSCHOG00000010226
sorex_araneus ENSSARG00000011368
erinaceus_europaeus ENSEEUG00000007516
phascolarctos_cinereus ENSPCIG00000031126
papio_anubis ENSPANG00000033046
piliocolobus_tephrosceles ENSPTEG00000000361
ochotona_princeps ENSOPRG00000014094
erinaceus_europaeus ENSEEUG00000009397
gorilla_gorilla ENSGGOG00000039888
sorex_araneus ENSSARG00000002102
bos_taurus ENSBTAG00000054548
canis_lupus_dingo ENSCAFG00020005861
spermophilus_dauricus ENSSDAG00000008973
prolemur_simus ENSPSMG00000015526
notamacropus_eugenii ENSMEUG00000001601
phascolarctos_cinereus ENSPCIG00000037166
sarcophilus_harrisii ENSSHAG00000003665
monodelphis_domestica ENSMODG00000008631
monodelphis_domestica ENSMODG00000008668
sus_scrofa ENSSSCG00000032609
pogona_vitticeps ENSPVIG00000014921
phascolarctos_cinereus ENSPCIG00000036686
sphenodon_punctatus ENSSPUG00000010127
apteryx_rowi ENSARWG00000006322
apteryx_owenii ENSAOWG00000004841
salvator_merianae ENSSMRG00000019238
salvator_merianae ENSSMRG00000019196
