ursus_maritimus ENSUMAG00000005956
ursus_americanus ENSUAMG00000025599
ailuropoda_melanoleuca ENSAMEG00000012273
neovison_vison ENSNVIG00000010205
mustela_putorius_furo ENSMPUG00000012969
canis_lupus_dingo ENSCAFG00020011996
canis_lupus_dingo ENSCAFG00020010848
canis_lupus_familiaris ENSCAFG00000001865
vulpes_vulpes ENSVVUG00000028902
panthera_pardus ENSPPRG00000011131
panthera_pardus ENSPPRG00000010486
panthera_tigris_altaica ENSPTIG00000017372
felis_catus ENSFCAG00000009728
tursiops_truncatus ENSTTRG00000006339
sus_scrofa ENSSSCG00000001688
bos_taurus ENSBTAG00000011189
bos_mutus ENSBMUG00000012199
capra_hircus ENSCHIG00000021772
equus_asinus_asinus ENSEASG00005003315
equus_caballus ENSECAG00000013159
pteropus_vampyrus ENSPVAG00000005684
myotis_lucifugus ENSMLUG00000026181
erinaceus_europaeus ENSEEUG00000013219
macaca_fascicularis ENSMFAG00000030989
macaca_mulatta ENSMMUG00000023319
macaca_nemestrina ENSMNEG00000025245
papio_anubis ENSPANG00000024775
mandrillus_leucophaeus ENSMLEG00000036943
cercocebus_atys ENSCATG00000037638
chlorocebus_sabaeus ENSCSAG00000011836
rhinopithecus_bieti ENSRBIG00000026502
rhinopithecus_roxellana ENSRROG00000040743
colobus_angolensis_palliatus ENSCANG00000041904
piliocolobus_tephrosceles ENSPTEG00000015955
gorilla_gorilla ENSGGOG00000015185
homo_sapiens ENSG00000137221
pan_troglodytes ENSPTRG00000018199
pan_paniscus ENSPPAG00000029733
pongo_abelii ENSPPYG00000016642
cebus_capucinus_imitator ENSCCAG00000020836
saimiri_boliviensis_boliviensis ENSSBOG00000034133
callithrix_jacchus ENSCJAG00000005508
aotus_nancymaae ENSANAG00000034946
pan_troglodytes ENSPTRG00000045509
pan_paniscus ENSPPAG00000001022
gorilla_gorilla ENSGGOG00000041367
nomascus_leucogenys ENSNLEG00000035461
rhinopithecus_roxellana ENSRROG00000034294
rhinopithecus_bieti ENSRBIG00000040997
colobus_angolensis_palliatus ENSCANG00000041362
macaca_nemestrina ENSMNEG00000029813
macaca_mulatta ENSMMUG00000038509
papio_anubis ENSPANG00000031682
carlito_syrichta ENSTSYG00000034623
microcebus_murinus ENSMICG00000005000
prolemur_simus ENSPSMG00000017881
propithecus_coquereli ENSPCOG00000017355
otolemur_garnettii ENSOGAG00000016307
castor_canadensis ENSCCNG00000016166
dipodomys_ordii ENSDORG00000000420
mus_spicilegus ENSMSIG00000012119
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022577
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000012296
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021665
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020657
meriones_unguiculatus ENSMUGG00000021771
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020623
cricetulus_griseus_crigri_1.0 ENSCGRG00000013108
cricetulus_griseus_crigri-picr ENSCGRG00015018785
mesocricetus_auratus ENSMAUG00000000201
microtus_ochrogaster ENSMOCG00000019758
peromyscus_maniculatus_bairdii ENSPEMG00000000063
nannospalax_galili ENSNGAG00000001708
cavia_porcellus ENSCPOG00000009903
cavia_aperea ENSCAPG00000009527
chinchilla_lanigera ENSCLAG00000009058
octodon_degus ENSODEG00000016503
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019311
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016547
fukomys_damarensis ENSFDAG00000012038
marmota_marmota_marmota ENSMMMG00000024555
ictidomys_tridecemlineatus ENSSTOG00000010606
urocitellus_parryii ENSUPAG00010018437
spermophilus_dauricus ENSSDAG00000014410
tupaia_belangeri ENSTBEG00000014162
oryctolagus_cuniculus ENSOCUG00000023704
ochotona_princeps ENSOPRG00000000141
sorex_araneus ENSSARG00000001312
loxodonta_africana ENSLAFG00000017208
procavia_capensis ENSPCAG00000004887
echinops_telfairi ENSETEG00000007375
dasypus_novemcinctus ENSDNOG00000036766
dasypus_novemcinctus ENSDNOG00000001674
