ailuropoda_melanoleuca ENSAMEG00000005914
ursus_americanus ENSUAMG00000021571
neovison_vison ENSNVIG00000006966
canis_lupus_familiaris ENSCAFG00000019191
canis_lupus_dingo ENSCAFG00020018334
vulpes_vulpes ENSVVUG00000004425
felis_catus ENSFCAG00000040863
panthera_pardus ENSPPRG00000012460
equus_caballus ENSECAG00000027953
equus_asinus_asinus ENSEASG00005022286
sus_scrofa ENSSSCG00000032429
tursiops_truncatus ENSTTRG00000006753
capra_hircus ENSCHIG00000020868
ovis_aries ENSOARG00000011721
bos_taurus ENSBTAG00000009750
bos_mutus ENSBMUG00000018362
bison_bison_bison ENSBBBG00000008182
myotis_lucifugus ENSMLUG00000010808
prolemur_simus ENSPSMG00000019159
propithecus_coquereli ENSPCOG00000022891
microcebus_murinus ENSMICG00000014768
otolemur_garnettii ENSOGAG00000010138
pan_troglodytes ENSPTRG00000010277
pan_paniscus ENSPPAG00000039142
gorilla_gorilla ENSGGOG00000014727
homo_sapiens ENSG00000173976
pongo_abelii ENSPPYG00000009387
nomascus_leucogenys ENSNLEG00000002811
theropithecus_gelada ENSTGEG00000015050
papio_anubis ENSPANG00000013783
cercocebus_atys ENSCATG00000038515
macaca_mulatta ENSMMUG00000047828
macaca_fascicularis ENSMFAG00000043719
macaca_nemestrina ENSMNEG00000034075
mandrillus_leucophaeus ENSMLEG00000032619
chlorocebus_sabaeus ENSCSAG00000010944
rhinopithecus_bieti ENSRBIG00000038716
rhinopithecus_roxellana ENSRROG00000029798
colobus_angolensis_palliatus ENSCANG00000037858
piliocolobus_tephrosceles ENSPTEG00000022275
callithrix_jacchus ENSCJAG00000015003
cebus_capucinus_imitator ENSCCAG00000027035
aotus_nancymaae ENSANAG00000029699
ictidomys_tridecemlineatus ENSSTOG00000024315
urocitellus_parryii ENSUPAG00010008848
dasypus_novemcinctus ENSDNOG00000007392
procavia_capensis ENSPCAG00000000707
