cercocebus_atys ENSCATG00000030803
theropithecus_gelada ENSTGEG00000026908
macaca_nemestrina ENSMNEG00000030540
macaca_mulatta ENSMMUG00000045450
macaca_fascicularis ENSMFAG00000037254
papio_anubis ENSPANG00000032467
mandrillus_leucophaeus ENSMLEG00000031591
rhinopithecus_bieti ENSRBIG00000044357
rhinopithecus_roxellana ENSRROG00000036680
piliocolobus_tephrosceles ENSPTEG00000030800
colobus_angolensis_palliatus ENSCANG00000042312
aotus_nancymaae ENSANAG00000031081
cebus_capucinus_imitator ENSCCAG00000028411
