peromyscus_maniculatus_bairdii ENSPEMG00000014082
microtus_ochrogaster ENSMOCG00000019744
cricetulus_griseus_crigri-picr ENSCGRG00015019520
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014083
mesocricetus_auratus ENSMAUG00000020348
mus_spicilegus ENSMSIG00000022558
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044361
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020815
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019912
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019922
rattus_norvegicus ENSRNOG00000023828
nannospalax_galili ENSNGAG00000018326
jaculus_jaculus ENSJJAG00000016163
castor_canadensis ENSCCNG00000028075
chinchilla_lanigera ENSCLAG00000015256
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014585
loxodonta_africana ENSLAFG00000029313
