scophthalmus_maximus ENSSMAG00000007261
cynoglossus_semilaevis ENSCSEG00000017046
seriola_dumerili ENSSDUG00000016887
seriola_lalandi_dorsalis ENSSLDG00000006488
labrus_bergylta ENSLBEG00000004065
monopterus_albus ENSMALG00000005655
mastacembelus_armatus ENSMAMG00000022330
anabas_testudineus ENSATEG00000002074
maylandia_zebra ENSMZEG00005022730
haplochromis_burtoni ENSHBUG00000002046
pundamilia_nyererei ENSPNYG00000010564
astatotilapia_calliptera ENSACLG00000002888
neolamprologus_brichardi ENSNBRG00000018098
oreochromis_niloticus ENSONIG00000001128
amphilophus_citrinellus ENSACIG00000011195
oryzias_latipes_asm223471v1 ENSORLG00020008353
oryzias_latipes_asm223469v1 ENSORLG00015021853
oryzias_latipes_asm223467v1 ENSORLG00000003897
oryzias_melastigma ENSOMEG00000023103
poecilia_latipinna ENSPLAG00000004759
poecilia_mexicana ENSPMEG00000016225
poecilia_formosa ENSPFOG00000012505
xiphophorus_couchianus ENSXCOG00000016777
xiphophorus_maculatus ENSXMAG00000008968
cyprinodon_variegatus ENSCVAG00000023206
fundulus_heteroclitus ENSFHEG00000012047
kryptolebias_marmoratus ENSKMAG00000020002
amphiprion_percula ENSAPEG00000005181
amphiprion_ocellaris ENSAOCG00000016541
amphiprion_ocellaris ENSAOCG00000005104
acanthochromis_polyacanthus ENSAPOG00000016838
stegastes_partitus ENSSPAG00000006365
takifugu_rubripes ENSTRUG00000021335
tetraodon_nigroviridis ENSTNIG00000011709
periophthalmus_magnuspinnatus ENSPMGG00000010679
ictalurus_punctatus ENSIPUG00000020199
pygocentrus_nattereri ENSPNAG00000028058
danio_rerio ENSDARG00000070932
paramormyrops_kingsleyae ENSPKIG00000001162
pogona_vitticeps ENSPVIG00000017358
anolis_carolinensis ENSACAG00000017956
notechis_scutatus ENSNSUG00000008719
salvator_merianae ENSSMRG00000002443
sphenodon_punctatus ENSSPUG00000012928
apteryx_haastii ENSAHAG00000010027
apteryx_owenii ENSAOWG00000008293
apteryx_rowi ENSARWG00000014404
nothoprocta_perdicaria ENSNPEG00000002556
dromaius_novaehollandiae ENSDNVG00000001381
lonchura_striata_domestica ENSLSDG00000006782
taeniopygia_guttata ENSTGUG00000018202
serinus_canaria ENSSCAG00000006963
cyanistes_caeruleus ENSCCEG00000021409
ficedula_albicollis ENSFALG00000015255
junco_hyemalis ENSJHYG00000012086
manacus_vitellinus ENSMVIG00005008780
calidris_pugnax ENSCPUG00000014566
anser_brachyrhynchus ENSABRG00000009652
anas_platyrhynchos_platyrhynchos ENSAPLG00000023017
numida_meleagris ENSNMEG00000007377
gallus_gallus ENSGALG00000011485
crocodylus_porosus ENSCPRG00005005829
gopherus_agassizii ENSGAGG00000009714
chelonoidis_abingdonii ENSCABG00000015168
chrysemys_picta_bellii ENSCPBG00000009836
pelodiscus_sinensis ENSPSIG00000000019
loxodonta_africana ENSLAFG00000032420
procavia_capensis ENSPCAG00000016524
echinops_telfairi ENSETEG00000019774
myotis_lucifugus ENSMLUG00000014840
pteropus_vampyrus ENSPVAG00000003874
bos_taurus ENSBTAG00000000665
bos_mutus ENSBMUG00000016604
bison_bison_bison ENSBBBG00000010709
capra_hircus ENSCHIG00000025119
tursiops_truncatus ENSTTRG00000006681
sus_scrofa ENSSSCG00000017410
vicugna_pacos ENSVPAG00000006201
neovison_vison ENSNVIG00000012285
mustela_putorius_furo ENSMPUG00000010541
ursus_americanus ENSUAMG00000024341
ailuropoda_melanoleuca ENSAMEG00000006040
canis_lupus_familiaris ENSCAFG00000015615
canis_lupus_dingo ENSCAFG00020013518
vulpes_vulpes ENSVVUG00000021153
panthera_pardus ENSPPRG00000007024
panthera_pardus ENSPPRG00000006867
felis_catus ENSFCAG00000042699
equus_caballus ENSECAG00000001687
equus_asinus_asinus ENSEASG00005009317
sorex_araneus ENSSARG00000000396
urocitellus_parryii ENSUPAG00010009569
ictidomys_tridecemlineatus ENSSTOG00000006669
marmota_marmota_marmota ENSMMMG00000006029
spermophilus_dauricus ENSSDAG00000009299
castor_canadensis ENSCCNG00000025238
cricetulus_griseus_crigri_1.0 ENSCGRG00000008765
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019538
mesocricetus_auratus ENSMAUG00000008030
microtus_ochrogaster ENSMOCG00000005402
mus_spicilegus ENSMSIG00000004762
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017186
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045471
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018029
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018316
rattus_norvegicus ENSRNOG00000018892
peromyscus_maniculatus_bairdii ENSPEMG00000028528
cricetulus_griseus_crigri-picr ENSCGRG00015002014
meriones_unguiculatus ENSMUGG00000023510
nannospalax_galili ENSNGAG00000017222
jaculus_jaculus ENSJJAG00000021837
oryctolagus_cuniculus ENSOCUG00000013324
ochotona_princeps ENSOPRG00000008287
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010623
cavia_porcellus ENSCPOG00000040052
chinchilla_lanigera ENSCLAG00000016694
octodon_degus ENSODEG00000017993
dipodomys_ordii ENSDORG00000027929
propithecus_coquereli ENSPCOG00000014217
prolemur_simus ENSPSMG00000012456
microcebus_murinus ENSMICG00000011976
otolemur_garnettii ENSOGAG00000002433
pan_paniscus ENSPPAG00000029937
pan_troglodytes ENSPTRG00000009196
gorilla_gorilla ENSGGOG00000015574
homo_sapiens ENSG00000161610
pongo_abelii ENSPPYG00000008396
nomascus_leucogenys ENSNLEG00000011424
rhinopithecus_roxellana ENSRROG00000042431
rhinopithecus_bieti ENSRBIG00000044623
piliocolobus_tephrosceles ENSPTEG00000015728
colobus_angolensis_palliatus ENSCANG00000037421
macaca_fascicularis ENSMFAG00000041348
macaca_nemestrina ENSMNEG00000036772
macaca_mulatta ENSMMUG00000006406
chlorocebus_sabaeus ENSCSAG00000003125
cercocebus_atys ENSCATG00000044714
theropithecus_gelada ENSTGEG00000009538
papio_anubis ENSPANG00000021456
cebus_capucinus_imitator ENSCCAG00000020143
saimiri_boliviensis_boliviensis ENSSBOG00000019042
callithrix_jacchus ENSCJAG00000000458
aotus_nancymaae ENSANAG00000035682
dasypus_novemcinctus ENSDNOG00000047000
sarcophilus_harrisii ENSSHAG00000004710
monodelphis_domestica ENSMODG00000014798
phascolarctos_cinereus ENSPCIG00000037370
latimeria_chalumnae ENSLACG00000007574
