saimiri_boliviensis_boliviensis ENSSBOG00000032627
aotus_nancymaae ENSANAG00000019035
pan_paniscus ENSPPAG00000033414
pan_troglodytes ENSPTRG00000045875
gorilla_gorilla ENSGGOG00000042390
nomascus_leucogenys ENSNLEG00000004524
pongo_abelii ENSPPYG00000010201
macaca_fascicularis ENSMFAG00000031647
macaca_mulatta ENSMMUG00000046178
cercocebus_atys ENSCATG00000038602
papio_anubis ENSPANG00000032397
macaca_nemestrina ENSMNEG00000044936
mandrillus_leucophaeus ENSMLEG00000042957
rhinopithecus_roxellana ENSRROG00000042646
colobus_angolensis_palliatus ENSCANG00000038240
rhinopithecus_bieti ENSRBIG00000031755
