ursus_maritimus ENSUMAG00000003197
ursus_americanus ENSUAMG00000017523
ailuropoda_melanoleuca ENSAMEG00000011477
mustela_putorius_furo ENSMPUG00000002943
neovison_vison ENSNVIG00000007763
canis_lupus_familiaris ENSCAFG00000016256
panthera_pardus ENSPPRG00000009530
panthera_tigris_altaica ENSPTIG00000016638
felis_catus ENSFCAG00000013497
pteropus_vampyrus ENSPVAG00000006961
bos_mutus ENSBMUG00000017778
bos_taurus ENSBTAG00000053318
ovis_aries ENSOARG00000005224
tursiops_truncatus ENSTTRG00000007948
sus_scrofa ENSSSCG00000013777
vicugna_pacos ENSVPAG00000012220
myotis_lucifugus ENSMLUG00000008456
canis_lupus_dingo ENSCAFG00020007456
equus_caballus ENSECAG00000017575
carlito_syrichta ENSTSYG00000035604
rhinopithecus_roxellana ENSRROG00000044946
rhinopithecus_bieti ENSRBIG00000037958
colobus_angolensis_palliatus ENSCANG00000043737
mandrillus_leucophaeus ENSMLEG00000044009
cercocebus_atys ENSCATG00000033974
macaca_fascicularis ENSMFAG00000043558
macaca_nemestrina ENSMNEG00000040251
macaca_mulatta ENSMMUG00000021892
theropithecus_gelada ENSTGEG00000007794
papio_anubis ENSPANG00000026252
chlorocebus_sabaeus ENSCSAG00000006309
pan_troglodytes ENSPTRG00000010597
pan_paniscus ENSPPAG00000035812
gorilla_gorilla ENSGGOG00000013092
homo_sapiens ENSG00000187912
pongo_abelii ENSPPYG00000009650
nomascus_leucogenys ENSNLEG00000032413
cebus_capucinus_imitator ENSCCAG00000021012
saimiri_boliviensis_boliviensis ENSSBOG00000034229
callithrix_jacchus ENSCJAG00000004588
aotus_nancymaae ENSANAG00000032640
oryctolagus_cuniculus ENSOCUG00000029056
ochotona_princeps ENSOPRG00000013455
sorex_araneus ENSSARG00000014579
prolemur_simus ENSPSMG00000012710
propithecus_coquereli ENSPCOG00000024825
microcebus_murinus ENSMICG00000011080
otolemur_garnettii ENSOGAG00000004648
echinops_telfairi ENSETEG00000008280
procavia_capensis ENSPCAG00000011916
loxodonta_africana ENSLAFG00000017694
dasypus_novemcinctus ENSDNOG00000041939
choloepus_hoffmanni ENSCHOG00000012705
phascolarctos_cinereus ENSPCIG00000029809
ornithorhynchus_anatinus ENSOANG00000022237
cyprinodon_variegatus ENSCVAG00000016018
kryptolebias_marmoratus ENSKMAG00000013521
