oryzias_melastigma ENSOMEG00000023708
monopterus_albus ENSMALG00000006086
periophthalmus_magnuspinnatus ENSPMGG00000023168
labrus_bergylta ENSLBEG00000021214
pygocentrus_nattereri ENSPNAG00000024755
astyanax_mexicanus ENSAMXG00000006488
ictalurus_punctatus ENSIPUG00000013092
danio_rerio ENSDARG00000012519
tetraodon_nigroviridis ENSTNIG00000005116
takifugu_rubripes ENSTRUG00000025094
mola_mola ENSMMOG00000009868
amphiprion_percula ENSAPEG00000023882
acanthochromis_polyacanthus ENSAPOG00000002683
stegastes_partitus ENSSPAG00000005148
poecilia_formosa ENSPFOG00000002355
poecilia_latipinna ENSPLAG00000016786
poecilia_mexicana ENSPMEG00000019564
gambusia_affinis ENSGAFG00000000219
xiphophorus_couchianus ENSXCOG00000016446
xiphophorus_maculatus ENSXMAG00000021127
cyprinodon_variegatus ENSCVAG00000001900
fundulus_heteroclitus ENSFHEG00000017805
pundamilia_nyererei ENSPNYG00000020329
haplochromis_burtoni ENSHBUG00000020787
maylandia_zebra ENSMZEG00005026759
astatotilapia_calliptera ENSACLG00000013767
neolamprologus_brichardi ENSNBRG00000008338
oreochromis_niloticus ENSONIG00000000801
amphilophus_citrinellus ENSACIG00000004586
seriola_dumerili ENSSDUG00000019763
seriola_lalandi_dorsalis ENSSLDG00000006262
mastacembelus_armatus ENSMAMG00000011723
scophthalmus_maximus ENSSMAG00000012493
cynoglossus_semilaevis ENSCSEG00000017270
hippocampus_comes ENSHCOG00000015911
periophthalmus_magnuspinnatus ENSPMGG00000017368
anabas_testudineus ENSATEG00000019412
amphiprion_ocellaris ENSAOCG00000011505
poecilia_mexicana ENSPMEG00000019580
poecilia_reticulata ENSPREG00000012748
gambusia_affinis ENSGAFG00000000267
gopherus_agassizii ENSGAGG00000008881
labrus_bergylta ENSLBEG00000002163
eptatretus_burgeri ENSEBUG00000011333
