ictidomys_tridecemlineatus ENSSTOG00000028401
urocitellus_parryii ENSUPAG00010008333
marmota_marmota_marmota ENSMMMG00000021069
castor_canadensis ENSCCNG00000018265
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034041
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032424
mus_spicilegus ENSMSIG00000014285
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031306
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022911
rattus_norvegicus ENSRNOG00000002950
meriones_unguiculatus ENSMUGG00000014238
cricetulus_griseus_crigri-picr ENSCGRG00015017186
cricetulus_griseus_crigri_1.0 ENSCGRG00000009746
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020161
microtus_ochrogaster ENSMOCG00000000199
peromyscus_maniculatus_bairdii ENSPEMG00000026641
nannospalax_galili ENSNGAG00000014673
jaculus_jaculus ENSJJAG00000015977
chinchilla_lanigera ENSCLAG00000014483
octodon_degus ENSODEG00000010992
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010638
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007171
fukomys_damarensis ENSFDAG00000013154
cavia_porcellus ENSCPOG00000036111
dipodomys_ordii ENSDORG00000029482
ochotona_princeps ENSOPRG00000009458
gorilla_gorilla ENSGGOG00000023512
homo_sapiens ENSG00000104903
pan_troglodytes ENSPTRG00000049311
pan_paniscus ENSPPAG00000028076
pongo_abelii ENSPPYG00000009621
nomascus_leucogenys ENSNLEG00000013010
theropithecus_gelada ENSTGEG00000002625
papio_anubis ENSPANG00000014670
mandrillus_leucophaeus ENSMLEG00000040101
cercocebus_atys ENSCATG00000044487
macaca_fascicularis ENSMFAG00000032986
macaca_mulatta ENSMMUG00000001166
macaca_nemestrina ENSMNEG00000013370
chlorocebus_sabaeus ENSCSAG00000006504
rhinopithecus_bieti ENSRBIG00000000841
rhinopithecus_roxellana ENSRROG00000030934
colobus_angolensis_palliatus ENSCANG00000035351
piliocolobus_tephrosceles ENSPTEG00000006171
saimiri_boliviensis_boliviensis ENSSBOG00000035321
cebus_capucinus_imitator ENSCCAG00000036697
callithrix_jacchus ENSCJAG00000004598
aotus_nancymaae ENSANAG00000037857
carlito_syrichta ENSTSYG00000029040
propithecus_coquereli ENSPCOG00000027352
prolemur_simus ENSPSMG00000004557
microcebus_murinus ENSMICG00000045046
otolemur_garnettii ENSOGAG00000033339
ailuropoda_melanoleuca ENSAMEG00000012594
ursus_maritimus ENSUMAG00000006035
ursus_americanus ENSUAMG00000022910
canis_lupus_familiaris ENSCAFG00000017940
vulpes_vulpes ENSVVUG00000024174
canis_lupus_dingo ENSCAFG00020005371
mustela_putorius_furo ENSMPUG00000004316
neovison_vison ENSNVIG00000004114
felis_catus ENSFCAG00000000482
panthera_pardus ENSPPRG00000008858
bos_taurus ENSBTAG00000019329
bos_mutus ENSBMUG00000015125
bison_bison_bison ENSBBBG00000019215
capra_hircus ENSCHIG00000027128
ovis_aries ENSOARG00000009454
tursiops_truncatus ENSTTRG00000006376
sus_scrofa ENSSSCG00000024549
pteropus_vampyrus ENSPVAG00000015075
myotis_lucifugus ENSMLUG00000012805
equus_asinus_asinus ENSEASG00005004054
equus_caballus ENSECAG00000028699
loxodonta_africana ENSLAFG00000005235
procavia_capensis ENSPCAG00000003676
dasypus_novemcinctus ENSDNOG00000043562
phascolarctos_cinereus ENSPCIG00000019276
notamacropus_eugenii ENSMEUG00000008559
monodelphis_domestica ENSMODG00000011593
sarcophilus_harrisii ENSSHAG00000014421
ornithorhynchus_anatinus ENSOANG00000006846
xenopus_tropicalis ENSXETG00000016721
fundulus_heteroclitus ENSFHEG00000002596
cynoglossus_semilaevis ENSCSEG00000007753
