vulpes_vulpes ENSVVUG00000002124
canis_lupus_dingo ENSCAFG00020014922
ursus_maritimus ENSUMAG00000004010
ailuropoda_melanoleuca ENSAMEG00000007347
neovison_vison ENSNVIG00000013454
felis_catus ENSFCAG00000041018
panthera_tigris_altaica ENSPTIG00000019332
sorex_araneus ENSSARG00000012356
pteropus_vampyrus ENSPVAG00000009940
bos_mutus ENSBMUG00000022105
bison_bison_bison ENSBBBG00000011728
ovis_aries ENSOARG00000003800
tursiops_truncatus ENSTTRG00000014674
vicugna_pacos ENSVPAG00000007230
equus_asinus_asinus ENSEASG00005020265
equus_caballus ENSECAG00000000598
myotis_lucifugus ENSMLUG00000007506
pan_troglodytes ENSPTRG00000011578
pan_paniscus ENSPPAG00000027711
homo_sapiens ENSG00000177025
gorilla_gorilla ENSGGOG00000016617
pongo_abelii ENSPPYG00000010487
nomascus_leucogenys ENSNLEG00000011054
papio_anubis ENSPANG00000012028
theropithecus_gelada ENSTGEG00000015564
macaca_nemestrina ENSMNEG00000042724
macaca_mulatta ENSMMUG00000020494
macaca_fascicularis ENSMFAG00000034544
cercocebus_atys ENSCATG00000006829
mandrillus_leucophaeus ENSMLEG00000031632
chlorocebus_sabaeus ENSCSAG00000001614
rhinopithecus_roxellana ENSRROG00000004001
rhinopithecus_bieti ENSRBIG00000029537
colobus_angolensis_palliatus ENSCANG00000028688
piliocolobus_tephrosceles ENSPTEG00000004307
callithrix_jacchus ENSCJAG00000000378
saimiri_boliviensis_boliviensis ENSSBOG00000033516
cebus_capucinus_imitator ENSCCAG00000030604
carlito_syrichta ENSTSYG00000000441
propithecus_coquereli ENSPCOG00000024635
prolemur_simus ENSPSMG00000017838
marmota_marmota_marmota ENSMMMG00000024718
urocitellus_parryii ENSUPAG00010006355
castor_canadensis ENSCCNG00000007823
microtus_ochrogaster ENSMOCG00000002430
peromyscus_maniculatus_bairdii ENSPEMG00000014597
cricetulus_griseus_crigri_1.0 ENSCGRG00000017812
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005367
cricetulus_griseus_crigri-picr ENSCGRG00015014665
mesocricetus_auratus ENSMAUG00000018148
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030262
mus_spicilegus ENSMSIG00000020052
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030385
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029185
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021047
rattus_norvegicus ENSRNOG00000019280
meriones_unguiculatus ENSMUGG00000000697
nannospalax_galili ENSNGAG00000008593
oryctolagus_cuniculus ENSOCUG00000007613
ochotona_princeps ENSOPRG00000006248
loxodonta_africana ENSLAFG00000009566
procavia_capensis ENSPCAG00000008138
echinops_telfairi ENSETEG00000012799
choloepus_hoffmanni ENSCHOG00000004927
