propithecus_coquereli ENSPCOG00000000116
prolemur_simus ENSPSMG00000016785
microcebus_murinus ENSMICG00000036914
otolemur_garnettii ENSOGAG00000015384
tupaia_belangeri ENSTBEG00000004558
sus_scrofa ENSSSCG00000034974
tursiops_truncatus ENSTTRG00000008765
dasypus_novemcinctus ENSDNOG00000045421
dasypus_novemcinctus ENSDNOG00000038573
choloepus_hoffmanni ENSCHOG00000007824
echinops_telfairi ENSETEG00000012592
ursus_americanus ENSUAMG00000012809
ursus_maritimus ENSUMAG00000001644
ailuropoda_melanoleuca ENSAMEG00000015684
canis_lupus_familiaris ENSCAFG00000011785
canis_lupus_dingo ENSCAFG00020019714
vulpes_vulpes ENSVVUG00000016358
ursus_maritimus ENSUMAG00000001706
ursus_americanus ENSUAMG00000015104
ailuropoda_melanoleuca ENSAMEG00000015690
neovison_vison ENSNVIG00000000158
canis_lupus_familiaris ENSCAFG00000011747
canis_lupus_dingo ENSCAFG00020019704
panthera_pardus ENSPPRG00000017550
erinaceus_europaeus ENSEEUG00000002143
erinaceus_europaeus ENSEEUG00000009311
peromyscus_maniculatus_bairdii ENSPEMG00000001889
microtus_ochrogaster ENSMOCG00000002391
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002194
cricetulus_griseus_crigri-picr ENSCGRG00015015727
cricetulus_griseus_crigri_1.0 ENSCGRG00000019729
mesocricetus_auratus ENSMAUG00000001340
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015710
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037924
mus_spicilegus ENSMSIG00000032015
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014906
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028143
rattus_norvegicus ENSRNOG00000009141
meriones_unguiculatus ENSMUGG00000020974
castor_canadensis ENSCCNG00000016637
spermophilus_dauricus ENSSDAG00000016574
marmota_marmota_marmota ENSMMMG00000022442
urocitellus_parryii ENSUPAG00010011055
ictidomys_tridecemlineatus ENSSTOG00000004580
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007270
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018391
fukomys_damarensis ENSFDAG00000016862
otolemur_garnettii ENSOGAG00000034929
prolemur_simus ENSPSMG00000016803
pan_troglodytes ENSPTRG00000001522
pan_paniscus ENSPPAG00000019195
homo_sapiens ENSG00000184155
gorilla_gorilla ENSGGOG00000003035
pongo_abelii ENSPPYG00000000658
nomascus_leucogenys ENSNLEG00000019159
pongo_abelii ENSPPYG00000000659
rhinopithecus_bieti ENSRBIG00000039199
rhinopithecus_roxellana ENSRROG00000034634
colobus_angolensis_palliatus ENSCANG00000036089
mandrillus_leucophaeus ENSMLEG00000029120
cercocebus_atys ENSCATG00000038110
macaca_nemestrina ENSMNEG00000037423
macaca_mulatta ENSMMUG00000006686
papio_anubis ENSPANG00000033840
cebus_capucinus_imitator ENSCCAG00000028466
callithrix_jacchus ENSCJAG00000006286
carlito_syrichta ENSTSYG00000002365
nannospalax_galili ENSNGAG00000000474
ovis_aries ENSOARG00000007326
capra_hircus ENSCHIG00000005144
bos_mutus ENSBMUG00000023042
bos_taurus ENSBTAG00000019038
bison_bison_bison ENSBBBG00000005683
sus_scrofa ENSSSCG00000033778
vicugna_pacos ENSVPAG00000010227
equus_caballus ENSECAG00000031266
equus_asinus_asinus ENSEASG00005003258
loxodonta_africana ENSLAFG00000021971
phascolarctos_cinereus ENSPCIG00000027076
phascolarctos_cinereus ENSPCIG00000027074
notamacropus_eugenii ENSMEUG00000000060
mus_spicilegus ENSMSIG00000032007
mus_spicilegus ENSMSIG00000005561
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015716
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049605
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014912
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028148
rattus_norvegicus ENSRNOG00000049477
meriones_unguiculatus ENSMUGG00000012491
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012095
cricetulus_griseus_crigri_1.0 ENSCGRG00000019444
cricetulus_griseus_crigri-picr ENSCGRG00015015673
peromyscus_maniculatus_bairdii ENSPEMG00000001739
castor_canadensis ENSCCNG00000021579
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019935
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020531
chinchilla_lanigera ENSCLAG00000017841
cavia_porcellus ENSCPOG00000006414
cavia_aperea ENSCAPG00000016871
urocitellus_parryii ENSUPAG00010011002
ictidomys_tridecemlineatus ENSSTOG00000004550
spermophilus_dauricus ENSSDAG00000018465
marmota_marmota_marmota ENSMMMG00000022481
oryctolagus_cuniculus ENSOCUG00000016400
equus_caballus ENSECAG00000034321
equus_asinus_asinus ENSEASG00005003277
myotis_lucifugus ENSMLUG00000009704
bos_mutus ENSBMUG00000018977
bos_taurus ENSBTAG00000054463
bison_bison_bison ENSBBBG00000021290
capra_hircus ENSCHIG00000024468
ovis_aries ENSOARG00000007709
sus_scrofa ENSSSCG00000032271
ailuropoda_melanoleuca ENSAMEG00000018629
ursus_maritimus ENSUMAG00000001776
mustela_putorius_furo ENSMPUG00000019466
neovison_vison ENSNVIG00000000074
canis_lupus_familiaris ENSCAFG00000031143
felis_catus ENSFCAG00000023051
panthera_pardus ENSPPRG00000023825
erinaceus_europaeus ENSEEUG00000006731
theropithecus_gelada ENSTGEG00000004643
dasypus_novemcinctus ENSDNOG00000040892
prolemur_simus ENSPSMG00000016840
otolemur_garnettii ENSOGAG00000015572
echinops_telfairi ENSETEG00000004096
phascolarctos_cinereus ENSPCIG00000000808
sarcophilus_harrisii ENSSHAG00000001432
monodelphis_domestica ENSMODG00000010060
