chinchilla_lanigera ENSCLAG00000015227
octodon_degus ENSODEG00000012955
cavia_aperea ENSCAPG00000000306
cavia_porcellus ENSCPOG00000002911
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002645
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006555
fukomys_damarensis ENSFDAG00000017520
marmota_marmota_marmota ENSMMMG00000009764
urocitellus_parryii ENSUPAG00010013748
spermophilus_dauricus ENSSDAG00000001313
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024433
cricetulus_griseus_crigri-picr ENSCGRG00015025512
cricetulus_griseus_crigri_1.0 ENSCGRG00000004364
mesocricetus_auratus ENSMAUG00000013840
microtus_ochrogaster ENSMOCG00000014684
mus_spicilegus ENSMSIG00000021580
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026074
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000015854
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025133
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026576
rattus_norvegicus ENSRNOG00000023068
meriones_unguiculatus ENSMUGG00000026891
nannospalax_galili ENSNGAG00000000830
jaculus_jaculus ENSJJAG00000020432
castor_canadensis ENSCCNG00000018311
dipodomys_ordii ENSDORG00000015348
ochotona_princeps ENSOPRG00000015492
ochotona_princeps ENSOPRG00000012188
oryctolagus_cuniculus ENSOCUG00000026714
pan_troglodytes ENSPTRG00000001493
pan_paniscus ENSPPAG00000041654
gorilla_gorilla ENSGGOG00000008730
homo_sapiens ENSG00000073754
pongo_abelii ENSPPYG00000000688
nomascus_leucogenys ENSNLEG00000013009
papio_anubis ENSPANG00000017884
cercocebus_atys ENSCATG00000039371
macaca_nemestrina ENSMNEG00000040571
macaca_mulatta ENSMMUG00000019835
macaca_fascicularis ENSMFAG00000037129
theropithecus_gelada ENSTGEG00000003352
mandrillus_leucophaeus ENSMLEG00000032646
chlorocebus_sabaeus ENSCSAG00000002371
piliocolobus_tephrosceles ENSPTEG00000016334
colobus_angolensis_palliatus ENSCANG00000029813
rhinopithecus_roxellana ENSRROG00000036918
rhinopithecus_bieti ENSRBIG00000041499
saimiri_boliviensis_boliviensis ENSSBOG00000012883
cebus_capucinus_imitator ENSCCAG00000018500
callithrix_jacchus ENSCJAG00000006682
aotus_nancymaae ENSANAG00000033457
carlito_syrichta ENSTSYG00000002759
propithecus_coquereli ENSPCOG00000024802
microcebus_murinus ENSMICG00000033978
prolemur_simus ENSPSMG00000025826
otolemur_garnettii ENSOGAG00000005293
tupaia_belangeri ENSTBEG00000003292
equus_asinus_asinus ENSEASG00005003499
equus_caballus ENSECAG00000023772
pteropus_vampyrus ENSPVAG00000010048
ursus_maritimus ENSUMAG00000004504
ursus_americanus ENSUAMG00000012326
ailuropoda_melanoleuca ENSAMEG00000004457
neovison_vison ENSNVIG00000021582
mustela_putorius_furo ENSMPUG00000012700
canis_lupus_familiaris ENSCAFG00000016447
canis_lupus_dingo ENSCAFG00020003767
vulpes_vulpes ENSVVUG00000003995
panthera_pardus ENSPPRG00000004630
panthera_tigris_altaica ENSPTIG00000010799
felis_catus ENSFCAG00000010048
bison_bison_bison ENSBBBG00000019927
bos_mutus ENSBMUG00000002803
bos_taurus ENSBTAG00000022514
capra_hircus ENSCHIG00000015324
ovis_aries ENSOARG00000006980
capra_hircus ENSCHIG00000014091
bos_taurus ENSBTAG00000053777
bos_mutus ENSBMUG00000002831
tursiops_truncatus ENSTTRG00000006161
vicugna_pacos ENSVPAG00000000187
sus_scrofa ENSSSCG00000006455
echinops_telfairi ENSETEG00000016063
loxodonta_africana ENSLAFG00000002488
dasypus_novemcinctus ENSDNOG00000007229
choloepus_hoffmanni ENSCHOG00000011964
phascolarctos_cinereus ENSPCIG00000023759
notamacropus_eugenii ENSMEUG00000005288
sarcophilus_harrisii ENSSHAG00000006327
monodelphis_domestica ENSMODG00000010678
chrysemys_picta_bellii ENSCPBG00000009458
