amphiprion_percula ENSAPEG00000004790
amphiprion_ocellaris ENSAOCG00000015585
acanthochromis_polyacanthus ENSAPOG00000014527
oryzias_melastigma ENSOMEG00000022864
maylandia_zebra ENSMZEG00005014916
pundamilia_nyererei ENSPNYG00000006362
astatotilapia_calliptera ENSACLG00000017676
neolamprologus_brichardi ENSNBRG00000002456
amphilophus_citrinellus ENSACIG00000022573
mastacembelus_armatus ENSMAMG00000000916
monopterus_albus ENSMALG00000001821
anabas_testudineus ENSATEG00000008965
seriola_lalandi_dorsalis ENSSLDG00000001068
seriola_dumerili ENSSDUG00000016974
tetraodon_nigroviridis ENSTNIG00000002517
takifugu_rubripes ENSTRUG00000020039
mola_mola ENSMMOG00000017733
labrus_bergylta ENSLBEG00000024085
labrus_bergylta ENSLBEG00000008899
