stegastes_partitus ENSSPAG00000022208
oreochromis_niloticus ENSONIG00000020721
latimeria_chalumnae ENSLACG00000010367
oryzias_latipes_asm223467v1 ENSORLG00000026986
oryzias_latipes_asm223467v1 ENSORLG00000029363
astatotilapia_calliptera ENSACLG00000005238
paramormyrops_kingsleyae ENSPKIG00000011854
latimeria_chalumnae ENSLACG00000010586
latimeria_chalumnae ENSLACG00000010862
latimeria_chalumnae ENSLACG00000001518
notechis_scutatus ENSNSUG00000001794
pelodiscus_sinensis ENSPSIG00000000008
oryzias_melastigma ENSOMEG00000015073
lepisosteus_oculatus ENSLOCG00000009922
eptatretus_burgeri ENSEBUG00000004682
