urocitellus_parryii ENSUPAG00010006517
spermophilus_dauricus ENSSDAG00000010786
marmota_marmota_marmota ENSMMMG00000014634
mus_spicilegus ENSMSIG00000012600
oryctolagus_cuniculus ENSOCUG00000026007
ailuropoda_melanoleuca ENSAMEG00000012990
ursus_americanus ENSUAMG00000002177
mustela_putorius_furo ENSMPUG00000011908
vulpes_vulpes ENSVVUG00000010919
bos_taurus ENSBTAG00000037969
bos_mutus ENSBMUG00000015874
capra_hircus ENSCHIG00000024989
ovis_aries ENSOARG00000017847
myotis_lucifugus ENSMLUG00000024250
loxodonta_africana ENSLAFG00000030673
dasypus_novemcinctus ENSDNOG00000031652
apteryx_haastii ENSAHAG00000014141
apteryx_owenii ENSAOWG00000012585
apteryx_rowi ENSARWG00000001068
taeniopygia_guttata ENSTGUG00000001235
ficedula_albicollis ENSFALG00000007389
latimeria_chalumnae ENSLACG00000012941
