anser_brachyrhynchus ENSABRG00000022454
anas_platyrhynchos_platyrhynchos ENSAPLG00000005642
gallus_gallus ENSGALG00000005587
coturnix_japonica ENSCJPG00005001835
meleagris_gallopavo ENSMGAG00000005834
numida_meleagris ENSNMEG00000009630
lonchura_striata_domestica ENSLSDG00000011399
taeniopygia_guttata ENSTGUG00000007840
zonotrichia_albicollis ENSZALG00000010115
junco_hyemalis ENSJHYG00000000408
serinus_canaria ENSSCAG00000008113
ficedula_albicollis ENSFALG00000001022
cyanistes_caeruleus ENSCCEG00000016619
parus_major ENSPMJG00000005130
manacus_vitellinus ENSMVIG00005013827
lepidothrix_coronata ENSLCOG00000001505
calidris_pygmaea ENSCPGG00000005220
calidris_pugnax ENSCPUG00000014718
melopsittacus_undulatus ENSMUNG00000009833
apteryx_haastii ENSAHAG00000014235
apteryx_rowi ENSARWG00000015426
apteryx_owenii ENSAOWG00000017642
dromaius_novaehollandiae ENSDNVG00000007380
nothoprocta_perdicaria ENSNPEG00000013538
crocodylus_porosus ENSCPRG00005005649
chelonoidis_abingdonii ENSCABG00000020515
gopherus_agassizii ENSGAGG00000000987
chrysemys_picta_bellii ENSCPBG00000005181
pelodiscus_sinensis ENSPSIG00000017589
pogona_vitticeps ENSPVIG00000022561
anolis_carolinensis ENSACAG00000008398
notechis_scutatus ENSNSUG00000013593
salvator_merianae ENSSMRG00000015061
sphenodon_punctatus ENSSPUG00000013839
loxodonta_africana ENSLAFG00000012814
procavia_capensis ENSPCAG00000014863
echinops_telfairi ENSETEG00000018088
dasypus_novemcinctus ENSDNOG00000002222
choloepus_hoffmanni ENSCHOG00000011414
castor_canadensis ENSCCNG00000021125
dipodomys_ordii ENSDORG00000014967
peromyscus_maniculatus_bairdii ENSPEMG00000014969
microtus_ochrogaster ENSMOCG00000020486
cricetulus_griseus_crigri_1.0 ENSCGRG00000010654
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000464
cricetulus_griseus_crigri-picr ENSCGRG00015006646
mesocricetus_auratus ENSMAUG00000012197
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000005610
mus_spicilegus ENSMSIG00000028228
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031445
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013542
rattus_norvegicus ENSRNOG00000017158
meriones_unguiculatus ENSMUGG00000010963
nannospalax_galili ENSNGAG00000024067
jaculus_jaculus ENSJJAG00000021142
jaculus_jaculus ENSJJAG00000022275
cavia_porcellus ENSCPOG00000009036
cavia_aperea ENSCAPG00000012057
chinchilla_lanigera ENSCLAG00000016511
octodon_degus ENSODEG00000008998
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007052
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008407
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016127
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014723
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010266
fukomys_damarensis ENSFDAG00000000106
spermophilus_dauricus ENSSDAG00000021700
urocitellus_parryii ENSUPAG00010016127
ictidomys_tridecemlineatus ENSSTOG00000013612
marmota_marmota_marmota ENSMMMG00000001012
tupaia_belangeri ENSTBEG00000000475
propithecus_coquereli ENSPCOG00000024084
microcebus_murinus ENSMICG00000017460
propithecus_coquereli ENSPCOG00000025142
prolemur_simus ENSPSMG00000020734
prolemur_simus ENSPSMG00000024698
otolemur_garnettii ENSOGAG00000027912
pan_paniscus ENSPPAG00000028909
pan_troglodytes ENSPTRG00000003362
gorilla_gorilla ENSGGOG00000012972
homo_sapiens ENSG00000110321
pongo_abelii ENSPPYG00000003485
nomascus_leucogenys ENSNLEG00000017628
piliocolobus_tephrosceles ENSPTEG00000008406
colobus_angolensis_palliatus ENSCANG00000038118
rhinopithecus_roxellana ENSRROG00000037908
rhinopithecus_bieti ENSRBIG00000028088
rhinopithecus_roxellana ENSRROG00000034661
rhinopithecus_bieti ENSRBIG00000030029
mandrillus_leucophaeus ENSMLEG00000037531
cercocebus_atys ENSCATG00000040907
macaca_nemestrina ENSMNEG00000038132
macaca_mulatta ENSMMUG00000011436
macaca_fascicularis ENSMFAG00000036500
papio_anubis ENSPANG00000005223
theropithecus_gelada ENSTGEG00000015685
chlorocebus_sabaeus ENSCSAG00000004613
saimiri_boliviensis_boliviensis ENSSBOG00000026537
cebus_capucinus_imitator ENSCCAG00000020617
callithrix_jacchus ENSCJAG00000010633
aotus_nancymaae ENSANAG00000036301
aotus_nancymaae ENSANAG00000021255
