gambusia_affinis ENSGAFG00000016837
xiphophorus_maculatus ENSXMAG00000029364
poecilia_formosa ENSPFOG00000024475
poecilia_latipinna ENSPLAG00000009761
poecilia_mexicana ENSPMEG00000022448
poecilia_reticulata ENSPREG00000022422
oryzias_latipes_asm223471v1 ENSORLG00020002934
oryzias_latipes_asm223467v1 ENSORLG00000021831
gasterosteus_aculeatus ENSGACG00000005563
mola_mola ENSMMOG00000004021
takifugu_rubripes ENSTRUG00000023102
labrus_bergylta ENSLBEG00000017541
seriola_dumerili ENSSDUG00000010889
seriola_lalandi_dorsalis ENSSLDG00000025260
maylandia_zebra ENSMZEG00005019527
astatotilapia_calliptera ENSACLG00000012709
pundamilia_nyererei ENSPNYG00000022287
gadus_morhua ENSGMOG00000018285
esox_lucius ENSELUG00000008050
maylandia_zebra ENSMZEG00005015263
astatotilapia_calliptera ENSACLG00000005206
poecilia_formosa ENSPFOG00000004687
gasterosteus_aculeatus ENSGACG00000014800
scophthalmus_maximus ENSSMAG00000019285
esox_lucius ENSELUG00000012755
danio_rerio ENSDARG00000096628
scleropages_formosus ENSSFOG00015009942
paramormyrops_kingsleyae ENSPKIG00000011714
