cyanistes_caeruleus ENSCCEG00000024334
parus_major ENSPMJG00000005168
ficedula_albicollis ENSFALG00000008986
junco_hyemalis ENSJHYG00000006589
zonotrichia_albicollis ENSZALG00000017765
serinus_canaria ENSSCAG00000000079
taeniopygia_guttata ENSTGUG00000005071
lonchura_striata_domestica ENSLSDG00000017754
lepidothrix_coronata ENSLCOG00000001269
manacus_vitellinus ENSMVIG00005014681
calidris_pugnax ENSCPUG00000012124
calidris_pygmaea ENSCPGG00000006372
melopsittacus_undulatus ENSMUNG00000000723
anas_platyrhynchos_platyrhynchos ENSAPLG00000004100
anas_platyrhynchos_platyrhynchos ENSAPLG00000003359
anser_brachyrhynchus ENSABRG00000019689
meleagris_gallopavo ENSMGAG00000002848
coturnix_japonica ENSCJPG00005010519
gallus_gallus ENSGALG00000002908
numida_meleagris ENSNMEG00000010664
apteryx_rowi ENSARWG00000011831
apteryx_haastii ENSAHAG00000014719
apteryx_owenii ENSAOWG00000008278
dromaius_novaehollandiae ENSDNVG00000011963
nothoprocta_perdicaria ENSNPEG00000012830
crocodylus_porosus ENSCPRG00005015483
gopherus_agassizii ENSGAGG00000012579
chelonoidis_abingdonii ENSCABG00000021112
chrysemys_picta_bellii ENSCPBG00000002249
pelodiscus_sinensis ENSPSIG00000018264
anolis_carolinensis ENSACAG00000008316
pogona_vitticeps ENSPVIG00000024423
notechis_scutatus ENSNSUG00000005516
salvator_merianae ENSSMRG00000007774
sphenodon_punctatus ENSSPUG00000002039
phascolarctos_cinereus ENSPCIG00000021541
notamacropus_eugenii ENSMEUG00000016754
sarcophilus_harrisii ENSSHAG00000017875
monodelphis_domestica ENSMODG00000012355
capra_hircus ENSCHIG00000015107
ovis_aries ENSOARG00000011570
bos_mutus ENSBMUG00000021292
bos_taurus ENSBTAG00000004877
bison_bison_bison ENSBBBG00000014127
tursiops_truncatus ENSTTRG00000004899
sus_scrofa ENSSSCG00000026977
ursus_maritimus ENSUMAG00000022188
ursus_americanus ENSUAMG00000007159
ailuropoda_melanoleuca ENSAMEG00000012159
neovison_vison ENSNVIG00000000209
mustela_putorius_furo ENSMPUG00000013365
canis_lupus_dingo ENSCAFG00020022090
canis_lupus_familiaris ENSCAFG00000011057
vulpes_vulpes ENSVVUG00000028779
panthera_tigris_altaica ENSPTIG00000019439
panthera_pardus ENSPPRG00000010658
felis_catus ENSFCAG00000010682
pteropus_vampyrus ENSPVAG00000008768
erinaceus_europaeus ENSEEUG00000005849
sorex_araneus ENSSARG00000011219
equus_caballus ENSECAG00000016029
equus_asinus_asinus ENSEASG00005011817
loxodonta_africana ENSLAFG00000006710
procavia_capensis ENSPCAG00000005207
echinops_telfairi ENSETEG00000016098
dasypus_novemcinctus ENSDNOG00000035213
octodon_degus ENSODEG00000018210
chinchilla_lanigera ENSCLAG00000007336
cavia_porcellus ENSCPOG00000003478
cavia_aperea ENSCAPG00000014440
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012072
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019055
fukomys_damarensis ENSFDAG00000000070
ictidomys_tridecemlineatus ENSSTOG00000013769
ictidomys_tridecemlineatus ENSSTOG00000020947
spermophilus_dauricus ENSSDAG00000013896
urocitellus_parryii ENSUPAG00010022670
marmota_marmota_marmota ENSMMMG00000003945
marmota_marmota_marmota ENSMMMG00000003871
urocitellus_parryii ENSUPAG00010009220
marmota_marmota_marmota ENSMMMG00000005560
spermophilus_dauricus ENSSDAG00000002637
castor_canadensis ENSCCNG00000015470
dipodomys_ordii ENSDORG00000007406
