maylandia_zebra ENSMZEG00005016734
haplochromis_burtoni ENSHBUG00000009642
astatotilapia_calliptera ENSACLG00000001745
pundamilia_nyererei ENSPNYG00000017861
neolamprologus_brichardi ENSNBRG00000005631
oreochromis_niloticus ENSONIG00000013622
amphilophus_citrinellus ENSACIG00000018200
anabas_testudineus ENSATEG00000006739
mola_mola ENSMMOG00000017909
labrus_bergylta ENSLBEG00000013812
amphiprion_ocellaris ENSAOCG00000014669
amphiprion_percula ENSAPEG00000022046
acanthochromis_polyacanthus ENSAPOG00000001059
stegastes_partitus ENSSPAG00000018021
gasterosteus_aculeatus ENSGACG00000009556
scophthalmus_maximus ENSSMAG00000011482
takifugu_rubripes ENSTRUG00000020848
tetraodon_nigroviridis ENSTNIG00000015909
cynoglossus_semilaevis ENSCSEG00000013004
poecilia_formosa ENSPFOG00000016037
poecilia_mexicana ENSPMEG00000013470
poecilia_latipinna ENSPLAG00000003443
poecilia_reticulata ENSPREG00000001481
gambusia_affinis ENSGAFG00000012231
xiphophorus_maculatus ENSXMAG00000022106
xiphophorus_couchianus ENSXCOG00000016970
fundulus_heteroclitus ENSFHEG00000011719
cyprinodon_variegatus ENSCVAG00000011495
kryptolebias_marmoratus ENSKMAG00000014332
oryzias_latipes_asm223471v1 ENSORLG00020012542
oryzias_latipes_asm223467v1 ENSORLG00000008201
oryzias_latipes_asm223469v1 ENSORLG00015001453
oryzias_melastigma ENSOMEG00000003676
mastacembelus_armatus ENSMAMG00000014024
monopterus_albus ENSMALG00000012128
seriola_dumerili ENSSDUG00000013902
seriola_lalandi_dorsalis ENSSLDG00000000681
hippocampus_comes ENSHCOG00000015936
periophthalmus_magnuspinnatus ENSPMGG00000019182
gadus_morhua ENSGMOG00000009125
esox_lucius ENSELUG00000012114
pygocentrus_nattereri ENSPNAG00000023713
astyanax_mexicanus ENSAMXG00000012353
ictalurus_punctatus ENSIPUG00000010372
danio_rerio ENSDARG00000078221
scleropages_formosus ENSSFOG00015020374
paramormyrops_kingsleyae ENSPKIG00000000296
lepisosteus_oculatus ENSLOCG00000015100
apteryx_owenii ENSAOWG00000003089
apteryx_haastii ENSAHAG00000001181
apteryx_rowi ENSARWG00000012009
dromaius_novaehollandiae ENSDNVG00000002875
lepidothrix_coronata ENSLCOG00000007640
manacus_vitellinus ENSMVIG00005019092
junco_hyemalis ENSJHYG00000002680
zonotrichia_albicollis ENSZALG00000004741
serinus_canaria ENSSCAG00000017006
taeniopygia_guttata ENSTGUG00000005099
lonchura_striata_domestica ENSLSDG00000006415
parus_major ENSPMJG00000017958
cyanistes_caeruleus ENSCCEG00000007496
ficedula_albicollis ENSFALG00000006597
calidris_pugnax ENSCPUG00000008150
calidris_pygmaea ENSCPGG00000008701
coturnix_japonica ENSCJPG00005015213
meleagris_gallopavo ENSMGAG00000002802
gallus_gallus ENSGALG00000003349
numida_meleagris ENSNMEG00000019808
crocodylus_porosus ENSCPRG00005001131
gopherus_agassizii ENSGAGG00000011721
chelonoidis_abingdonii ENSCABG00000014205
chrysemys_picta_bellii ENSCPBG00000004788
pelodiscus_sinensis ENSPSIG00000007585
pogona_vitticeps ENSPVIG00000020177
anolis_carolinensis ENSACAG00000008943
notechis_scutatus ENSNSUG00000008573
salvator_merianae ENSSMRG00000019137
sphenodon_punctatus ENSSPUG00000010035
anser_brachyrhynchus ENSABRG00000002419
anas_platyrhynchos_platyrhynchos ENSAPLG00000014892
anolis_carolinensis ENSACAG00000024624
gorilla_gorilla ENSGGOG00000006037
homo_sapiens ENSG00000169499
pan_troglodytes ENSPTRG00000020179
pan_paniscus ENSPPAG00000038502
pongo_abelii ENSPPYG00000018529
