tetraodon_nigroviridis ENSTNIG00000015431
takifugu_rubripes ENSTRUG00000019858
cynoglossus_semilaevis ENSCSEG00000012099
cynoglossus_semilaevis ENSCSEG00000016766
cyprinodon_variegatus ENSCVAG00000021876
cyprinodon_variegatus ENSCVAG00000021860
fundulus_heteroclitus ENSFHEG00000007069
poecilia_formosa ENSPFOG00000018301
poecilia_mexicana ENSPMEG00000018795
poecilia_latipinna ENSPLAG00000019841
poecilia_reticulata ENSPREG00000004116
xiphophorus_maculatus ENSXMAG00000006755
xiphophorus_couchianus ENSXCOG00000016730
gambusia_affinis ENSGAFG00000009292
kryptolebias_marmoratus ENSKMAG00000011528
poecilia_latipinna ENSPLAG00000019809
poecilia_mexicana ENSPMEG00000018771
cyprinodon_variegatus ENSCVAG00000021851
fundulus_heteroclitus ENSFHEG00000007124
xiphophorus_maculatus ENSXMAG00000023025
xiphophorus_couchianus ENSXCOG00000016726
gambusia_affinis ENSGAFG00000009296
poecilia_mexicana ENSPMEG00000004629
poecilia_mexicana ENSPMEG00000018764
poecilia_formosa ENSPFOG00000001705
poecilia_formosa ENSPFOG00000022290
poecilia_reticulata ENSPREG00000004131
cyprinodon_variegatus ENSCVAG00000021833
kryptolebias_marmoratus ENSKMAG00000011514
oryzias_latipes_asm223467v1 ENSORLG00000024762
oryzias_melastigma ENSOMEG00000005955
seriola_dumerili ENSSDUG00000016255
seriola_lalandi_dorsalis ENSSLDG00000005112
scophthalmus_maximus ENSSMAG00000009236
monopterus_albus ENSMALG00000009743
anabas_testudineus ENSATEG00000004194
gasterosteus_aculeatus ENSGACG00000010182
mola_mola ENSMMOG00000018300
labrus_bergylta ENSLBEG00000005953
hippocampus_comes ENSHCOG00000014599
hippocampus_comes ENSHCOG00000014619
hippocampus_comes ENSHCOG00000014638
amphiprion_ocellaris ENSAOCG00000005207
amphiprion_percula ENSAPEG00000018774
acanthochromis_polyacanthus ENSAPOG00000001777
stegastes_partitus ENSSPAG00000005183
astatotilapia_calliptera ENSACLG00000004869
astatotilapia_calliptera ENSACLG00000004856
maylandia_zebra ENSMZEG00005014699
oreochromis_niloticus ENSONIG00000015915
neolamprologus_brichardi ENSNBRG00000002430
pundamilia_nyererei ENSPNYG00000020171
astatotilapia_calliptera ENSACLG00000004880
maylandia_zebra ENSMZEG00005014675
haplochromis_burtoni ENSHBUG00000009481
neolamprologus_brichardi ENSNBRG00000002407
amphilophus_citrinellus ENSACIG00000022122
periophthalmus_magnuspinnatus ENSPMGG00000013736
gadus_morhua ENSGMOG00000011069
esox_lucius ENSELUG00000000647
danio_rerio ENSDARG00000067664
periophthalmus_magnuspinnatus ENSPMGG00000013730
periophthalmus_magnuspinnatus ENSPMGG00000013723
seriola_dumerili ENSSDUG00000016266
seriola_lalandi_dorsalis ENSSLDG00000005139
mola_mola ENSMMOG00000018302
monopterus_albus ENSMALG00000009735
anabas_testudineus ENSATEG00000004176
haplochromis_burtoni ENSHBUG00000009491
maylandia_zebra ENSMZEG00005014670
pundamilia_nyererei ENSPNYG00000020182
neolamprologus_brichardi ENSNBRG00000002394
amphilophus_citrinellus ENSACIG00000022137
poecilia_reticulata ENSPREG00000004147
poecilia_formosa ENSPFOG00000023640
gambusia_affinis ENSGAFG00000009300
xiphophorus_couchianus ENSXCOG00000016719
fundulus_heteroclitus ENSFHEG00000007150
kryptolebias_marmoratus ENSKMAG00000011487
oryzias_latipes_asm223467v1 ENSORLG00000024968
oryzias_latipes_asm223469v1 ENSORLG00015023157
oryzias_melastigma ENSOMEG00000006034
amphiprion_ocellaris ENSAOCG00000005198
amphiprion_percula ENSAPEG00000018737
acanthochromis_polyacanthus ENSAPOG00000001805
stegastes_partitus ENSSPAG00000005194
labrus_bergylta ENSLBEG00000005969
cynoglossus_semilaevis ENSCSEG00000012108
mastacembelus_armatus ENSMAMG00000011866
astyanax_mexicanus ENSAMXG00000042969
astyanax_mexicanus ENSAMXG00000035960
pygocentrus_nattereri ENSPNAG00000026953
danio_rerio ENSDARG00000039443
