oryzias_latipes_asm223471v1 ENSORLG00020014333
oryzias_latipes_asm223467v1 ENSORLG00000030246
oryzias_latipes_asm223469v1 ENSORLG00015015588
oryzias_melastigma ENSOMEG00000003491
xiphophorus_couchianus ENSXCOG00000001232
xiphophorus_maculatus ENSXMAG00000025894
poecilia_latipinna ENSPLAG00000004178
gadus_morhua ENSGMOG00000019355
papio_anubis ENSPANG00000011790
theropithecus_gelada ENSTGEG00000024764
piliocolobus_tephrosceles ENSPTEG00000000877
pan_troglodytes ENSPTRG00000020278
homo_sapiens ENSG00000173013
aotus_nancymaae ENSANAG00000029413
callithrix_jacchus ENSCJAG00000004152
microcebus_murinus ENSMICG00000007976
