manacus_vitellinus ENSMVIG00005009017
lepidothrix_coronata ENSLCOG00000012880
lonchura_striata_domestica ENSLSDG00000016532
taeniopygia_guttata ENSTGUG00000010527
serinus_canaria ENSSCAG00000003159
junco_hyemalis ENSJHYG00000010411
zonotrichia_albicollis ENSZALG00000008374
parus_major ENSPMJG00000012300
cyanistes_caeruleus ENSCCEG00000002619
ficedula_albicollis ENSFALG00000006291
calidris_pygmaea ENSCPGG00000000927
calidris_pugnax ENSCPUG00000013497
melopsittacus_undulatus ENSMUNG00000015025
anser_brachyrhynchus ENSABRG00000011314
anas_platyrhynchos_platyrhynchos ENSAPLG00000009411
gallus_gallus ENSGALG00000008255
coturnix_japonica ENSCJPG00005012079
meleagris_gallopavo ENSMGAG00000010840
numida_meleagris ENSNMEG00000016976
dromaius_novaehollandiae ENSDNVG00000003583
nothoprocta_perdicaria ENSNPEG00000009350
apteryx_owenii ENSAOWG00000017255
apteryx_rowi ENSARWG00000013253
apteryx_haastii ENSAHAG00000018064
crocodylus_porosus ENSCPRG00005014822
gopherus_agassizii ENSGAGG00000015298
chelonoidis_abingdonii ENSCABG00000001380
chrysemys_picta_bellii ENSCPBG00000015473
pelodiscus_sinensis ENSPSIG00000007995
anolis_carolinensis ENSACAG00000003280
pogona_vitticeps ENSPVIG00000014329
notechis_scutatus ENSNSUG00000017812
salvator_merianae ENSSMRG00000006000
sphenodon_punctatus ENSSPUG00000003775
oryctolagus_cuniculus ENSOCUG00000002066
ochotona_princeps ENSOPRG00000009417
echinops_telfairi ENSETEG00000003750
ursus_maritimus ENSUMAG00000014321
ursus_americanus ENSUAMG00000003474
ailuropoda_melanoleuca ENSAMEG00000007146
mustela_putorius_furo ENSMPUG00000005029
neovison_vison ENSNVIG00000011836
canis_lupus_familiaris ENSCAFG00000008942
canis_lupus_dingo ENSCAFG00020022185
vulpes_vulpes ENSVVUG00000026503
panthera_pardus ENSPPRG00000008841
panthera_tigris_altaica ENSPTIG00000016931
felis_catus ENSFCAG00000002524
pteropus_vampyrus ENSPVAG00000015808
myotis_lucifugus ENSMLUG00000017636
capra_hircus ENSCHIG00000013768
ovis_aries ENSOARG00000005021
bos_mutus ENSBMUG00000023500
bison_bison_bison ENSBBBG00000013522
tursiops_truncatus ENSTTRG00000014133
sus_scrofa ENSSSCG00000013246
equus_caballus ENSECAG00000024739
equus_asinus_asinus ENSEASG00005017823
prolemur_simus ENSPSMG00000022997
loxodonta_africana ENSLAFG00000013736
procavia_capensis ENSPCAG00000015812
dasypus_novemcinctus ENSDNOG00000019818
choloepus_hoffmanni ENSCHOG00000002563
propithecus_coquereli ENSPCOG00000013763
otolemur_garnettii ENSOGAG00000012396
pan_troglodytes ENSPTRG00000003555
pan_paniscus ENSPPAG00000040870
homo_sapiens ENSG00000149179
gorilla_gorilla ENSGGOG00000008547
pongo_abelii ENSPPYG00000003314
nomascus_leucogenys ENSNLEG00000014283
rhinopithecus_roxellana ENSRROG00000045631
rhinopithecus_bieti ENSRBIG00000040070
colobus_angolensis_palliatus ENSCANG00000028356
macaca_mulatta ENSMMUG00000006355
