mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020997
mus_spicilegus ENSMSIG00000017503
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016758
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020100
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020106
rattus_norvegicus ENSRNOG00000010359
meriones_unguiculatus ENSMUGG00000007361
peromyscus_maniculatus_bairdii ENSPEMG00000020645
peromyscus_maniculatus_bairdii ENSPEMG00000028833
microtus_ochrogaster ENSMOCG00000001896
cricetulus_griseus_crigri-picr ENSCGRG00015020999
cricetulus_griseus_crigri_1.0 ENSCGRG00000017813
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021137
mesocricetus_auratus ENSMAUG00000019844
nannospalax_galili ENSNGAG00000000452
jaculus_jaculus ENSJJAG00000017292
castor_canadensis ENSCCNG00000010318
dipodomys_ordii ENSDORG00000012228
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008535
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000403
cavia_porcellus ENSCPOG00000022451
cavia_aperea ENSCAPG00000008589
octodon_degus ENSODEG00000015823
oryctolagus_cuniculus ENSOCUG00000023446
pan_troglodytes ENSPTRG00000014467
pan_paniscus ENSPPAG00000028049
homo_sapiens ENSG00000100290
gorilla_gorilla ENSGGOG00000000029
pongo_abelii ENSPPYG00000011907
nomascus_leucogenys ENSNLEG00000016086
theropithecus_gelada ENSTGEG00000005837
papio_anubis ENSPANG00000009992
macaca_nemestrina ENSMNEG00000039907
macaca_fascicularis ENSMFAG00000041806
mandrillus_leucophaeus ENSMLEG00000026148
cercocebus_atys ENSCATG00000029775
chlorocebus_sabaeus ENSCSAG00000005618
rhinopithecus_bieti ENSRBIG00000040540
rhinopithecus_roxellana ENSRROG00000038383
colobus_angolensis_palliatus ENSCANG00000035370
saimiri_boliviensis_boliviensis ENSSBOG00000025149
cebus_capucinus_imitator ENSCCAG00000028214
callithrix_jacchus ENSCJAG00000001723
aotus_nancymaae ENSANAG00000022763
piliocolobus_tephrosceles ENSPTEG00000021629
carlito_syrichta ENSTSYG00000036547
propithecus_coquereli ENSPCOG00000019271
prolemur_simus ENSPSMG00000011766
microcebus_murinus ENSMICG00000043006
otolemur_garnettii ENSOGAG00000014058
ursus_maritimus ENSUMAG00000020334
ursus_americanus ENSUAMG00000007729
ailuropoda_melanoleuca ENSAMEG00000006859
canis_lupus_familiaris ENSCAFG00000000921
vulpes_vulpes ENSVVUG00000000999
equus_caballus ENSECAG00000018135
equus_asinus_asinus ENSEASG00005000875
pteropus_vampyrus ENSPVAG00000009678
procavia_capensis ENSPCAG00000007516
