calidris_pugnax ENSCPUG00000002285
gallus_gallus ENSGALG00000050608
serinus_canaria ENSSCAG00000006840
gopherus_agassizii ENSGAGG00000011748
chelonoidis_abingdonii ENSCABG00000019389
chrysemys_picta_bellii ENSCPBG00000005349
pogona_vitticeps ENSPVIG00000009159
anolis_carolinensis ENSACAG00000008386
notechis_scutatus ENSNSUG00000003004
salvator_merianae ENSSMRG00000016782
apteryx_haastii ENSAHAG00000002537
apteryx_rowi ENSARWG00000001204
apteryx_owenii ENSAOWG00000001320
dromaius_novaehollandiae ENSDNVG00000015977
phascolarctos_cinereus ENSPCIG00000018695
notamacropus_eugenii ENSMEUG00000003281
monodelphis_domestica ENSMODG00000005584
sarcophilus_harrisii ENSSHAG00000008181
propithecus_coquereli ENSPCOG00000026605
microcebus_murinus ENSMICG00000010326
prolemur_simus ENSPSMG00000018368
otolemur_garnettii ENSOGAG00000011071
carlito_syrichta ENSTSYG00000027107
ochotona_princeps ENSOPRG00000005855
oryctolagus_cuniculus ENSOCUG00000020918
dipodomys_ordii ENSDORG00000010106
pan_paniscus ENSPPAG00000002611
pan_troglodytes ENSPTRG00000010466
homo_sapiens ENSG00000267303
homo_sapiens ENSG00000161847
gorilla_gorilla ENSGGOG00000006015
pongo_abelii ENSPPYG00000010514
nomascus_leucogenys ENSNLEG00000012181
colobus_angolensis_palliatus ENSCANG00000008337
piliocolobus_tephrosceles ENSPTEG00000033340
rhinopithecus_bieti ENSRBIG00000034702
rhinopithecus_roxellana ENSRROG00000031186
papio_anubis ENSPANG00000004122
theropithecus_gelada ENSTGEG00000024646
mandrillus_leucophaeus ENSMLEG00000041959
cercocebus_atys ENSCATG00000043863
macaca_fascicularis ENSMFAG00000037977
macaca_nemestrina ENSMNEG00000028390
macaca_mulatta ENSMMUG00000014897
chlorocebus_sabaeus ENSCSAG00000007317
saimiri_boliviensis_boliviensis ENSSBOG00000023423
cebus_capucinus_imitator ENSCCAG00000031723
callithrix_jacchus ENSCJAG00000005671
aotus_nancymaae ENSANAG00000028226
ursus_americanus ENSUAMG00000020385
ursus_maritimus ENSUMAG00000025098
ailuropoda_melanoleuca ENSAMEG00000011738
mustela_putorius_furo ENSMPUG00000006712
neovison_vison ENSNVIG00000023781
canis_lupus_familiaris ENSCAFG00000017861
canis_lupus_dingo ENSCAFG00020024449
vulpes_vulpes ENSVVUG00000028976
panthera_pardus ENSPPRG00000009912
panthera_tigris_altaica ENSPTIG00000009744
felis_catus ENSFCAG00000009435
equus_caballus ENSECAG00000024966
bos_mutus ENSBMUG00000013551
bos_taurus ENSBTAG00000015721
bison_bison_bison ENSBBBG00000015499
capra_hircus ENSCHIG00000006718
ovis_aries ENSOARG00000015886
tursiops_truncatus ENSTTRG00000009552
sus_scrofa ENSSSCG00000013650
pteropus_vampyrus ENSPVAG00000003689
myotis_lucifugus ENSMLUG00000012328
dasypus_novemcinctus ENSDNOG00000035742
equus_asinus_asinus ENSEASG00005010544
mus_spicilegus ENSMSIG00000017020
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032984
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000010205
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000111497
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031860
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014726
