cyprinodon_variegatus ENSCVAG00000018667
fundulus_heteroclitus ENSFHEG00000015532
poecilia_formosa ENSPFOG00000002011
poecilia_latipinna ENSPLAG00000009757
poecilia_reticulata ENSPREG00000022094
xiphophorus_maculatus ENSXMAG00000017480
gambusia_affinis ENSGAFG00000001589
poecilia_mexicana ENSPMEG00000004780
xiphophorus_couchianus ENSXCOG00000011744
kryptolebias_marmoratus ENSKMAG00000015061
oryzias_latipes_asm223471v1 ENSORLG00020018645
oryzias_latipes_asm223469v1 ENSORLG00015013443
oryzias_latipes_asm223467v1 ENSORLG00000010166
oryzias_melastigma ENSOMEG00000015084
amphiprion_ocellaris ENSAOCG00000018408
amphiprion_percula ENSAPEG00000009377
acanthochromis_polyacanthus ENSAPOG00000021715
stegastes_partitus ENSSPAG00000011903
maylandia_zebra ENSMZEG00005006530
astatotilapia_calliptera ENSACLG00000023618
pundamilia_nyererei ENSPNYG00000000102
haplochromis_burtoni ENSHBUG00000002035
neolamprologus_brichardi ENSNBRG00000020438
oreochromis_niloticus ENSONIG00000017619
amphilophus_citrinellus ENSACIG00000021552
takifugu_rubripes ENSTRUG00000008679
tetraodon_nigroviridis ENSTNIG00000004215
labrus_bergylta ENSLBEG00000016206
mola_mola ENSMMOG00000009623
gasterosteus_aculeatus ENSGACG00000018601
mastacembelus_armatus ENSMAMG00000016123
monopterus_albus ENSMALG00000010810
anabas_testudineus ENSATEG00000019197
scophthalmus_maximus ENSSMAG00000012002
cynoglossus_semilaevis ENSCSEG00000018295
seriola_dumerili ENSSDUG00000012050
seriola_lalandi_dorsalis ENSSLDG00000023803
hippocampus_comes ENSHCOG00000003118
periophthalmus_magnuspinnatus ENSPMGG00000007498
esox_lucius ENSELUG00000010001
pygocentrus_nattereri ENSPNAG00000019518
astyanax_mexicanus ENSAMXG00000008031
ictalurus_punctatus ENSIPUG00000021320
danio_rerio ENSDARG00000037097
paramormyrops_kingsleyae ENSPKIG00000006243
scleropages_formosus ENSSFOG00015013179
