echinops_telfairi ENSETEG00000005616
procavia_capensis ENSPCAG00000003412
loxodonta_africana ENSLAFG00000004914
homo_sapiens ENSG00000186205
homo_sapiens ENSG00000286231
pan_troglodytes ENSPTRG00000002003
pan_paniscus ENSPPAG00000040763
gorilla_gorilla ENSGGOG00000039255
nomascus_leucogenys ENSNLEG00000013779
macaca_nemestrina ENSMNEG00000044573
macaca_fascicularis ENSMFAG00000039208
theropithecus_gelada ENSTGEG00000005758
papio_anubis ENSPANG00000007592
mandrillus_leucophaeus ENSMLEG00000036130
macaca_mulatta ENSMMUG00000015485
cercocebus_atys ENSCATG00000044908
chlorocebus_sabaeus ENSCSAG00000015876
rhinopithecus_bieti ENSRBIG00000019755
rhinopithecus_roxellana ENSRROG00000042311
piliocolobus_tephrosceles ENSPTEG00000003255
colobus_angolensis_palliatus ENSCANG00000014851
saimiri_boliviensis_boliviensis ENSSBOG00000026747
cebus_capucinus_imitator ENSCCAG00000036034
callithrix_jacchus ENSCJAG00000006138
aotus_nancymaae ENSANAG00000035591
carlito_syrichta ENSTSYG00000004039
propithecus_coquereli ENSPCOG00000022874
microcebus_murinus ENSMICG00000011423
prolemur_simus ENSPSMG00000016043
otolemur_garnettii ENSOGAG00000012064
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015816
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026621
mus_spicilegus ENSMSIG00000028114
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015016
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028248
rattus_norvegicus ENSRNOG00000004101
meriones_unguiculatus ENSMUGG00000010671
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018406
cricetulus_griseus_crigri_1.0 ENSCGRG00000008552
cricetulus_griseus_crigri-picr ENSCGRG00015008963
mesocricetus_auratus ENSMAUG00000005520
microtus_ochrogaster ENSMOCG00000003291
peromyscus_maniculatus_bairdii ENSPEMG00000022917
nannospalax_galili ENSNGAG00000014845
jaculus_jaculus ENSJJAG00000000310
chinchilla_lanigera ENSCLAG00000002988
octodon_degus ENSODEG00000014242
cavia_aperea ENSCAPG00000009971
cavia_porcellus ENSCPOG00000036776
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019512
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010494
fukomys_damarensis ENSFDAG00000015628
ictidomys_tridecemlineatus ENSSTOG00000006692
urocitellus_parryii ENSUPAG00010009939
spermophilus_dauricus ENSSDAG00000009875
marmota_marmota_marmota ENSMMMG00000024183
castor_canadensis ENSCCNG00000025348
oryctolagus_cuniculus ENSOCUG00000013170
ochotona_princeps ENSOPRG00000011482
equus_asinus_asinus ENSEASG00005006375
equus_caballus ENSECAG00000039033
myotis_lucifugus ENSMLUG00000000835
myotis_lucifugus ENSMLUG00000024856
vulpes_vulpes ENSVVUG00000010371
capra_hircus ENSCHIG00000001173
ovis_aries ENSOARG00000013167
bos_mutus ENSBMUG00000005701
bos_taurus ENSBTAG00000047287
bison_bison_bison ENSBBBG00000004730
tursiops_truncatus ENSTTRG00000003205
sus_scrofa ENSSSCG00000010829
neovison_vison ENSNVIG00000017680
mustela_putorius_furo ENSMPUG00000003971
ursus_americanus ENSUAMG00000025893
ursus_maritimus ENSUMAG00000022560
canis_lupus_familiaris ENSCAFG00000011336
vulpes_vulpes ENSVVUG00000010364
canis_lupus_dingo ENSCAFG00020002510
panthera_pardus ENSPPRG00000011436
panthera_tigris_altaica ENSPTIG00000020467
felis_catus ENSFCAG00000035366
vicugna_pacos ENSVPAG00000005235
notamacropus_eugenii ENSMEUG00000005490
phascolarctos_cinereus ENSPCIG00000012276
ornithorhynchus_anatinus ENSOANG00000001434
