cebus_capucinus_imitator ENSCCAG00000013592
callithrix_jacchus ENSCJAG00000044806
piliocolobus_tephrosceles ENSPTEG00000025161
prolemur_simus ENSPSMG00000004858
spermophilus_dauricus ENSSDAG00000014520
urocitellus_parryii ENSUPAG00010023032
marmota_marmota_marmota ENSMMMG00000007837
castor_canadensis ENSCCNG00000027178
peromyscus_maniculatus_bairdii ENSPEMG00000025784
cricetulus_griseus_crigri-picr ENSCGRG00015013034
mus_spicilegus ENSMSIG00000004585
bos_taurus ENSBTAG00000053911
bos_mutus ENSBMUG00000007928
bison_bison_bison ENSBBBG00000006123
sus_scrofa ENSSSCG00000034949
panthera_pardus ENSPPRG00000017367
neovison_vison ENSNVIG00000024235
