monodelphis_domestica ENSMODG00000014888
sarcophilus_harrisii ENSSHAG00000006491
phascolarctos_cinereus ENSPCIG00000019651
pteropus_vampyrus ENSPVAG00000009756
myotis_lucifugus ENSMLUG00000006982
ursus_maritimus ENSUMAG00000001151
ursus_americanus ENSUAMG00000017284
ailuropoda_melanoleuca ENSAMEG00000009852
mustela_putorius_furo ENSMPUG00000016053
canis_lupus_dingo ENSCAFG00020009705
vulpes_vulpes ENSVVUG00000017193
panthera_pardus ENSPPRG00000018809
felis_catus ENSFCAG00000036032
panthera_tigris_altaica ENSPTIG00000016421
bos_mutus ENSBMUG00000009407
vulpes_vulpes ENSVVUG00000019155
bos_taurus ENSBTAG00000038696
bison_bison_bison ENSBBBG00000002520
ovis_aries ENSOARG00000000619
capra_hircus ENSCHIG00000020646
sus_scrofa ENSSSCG00000013848
tursiops_truncatus ENSTTRG00000014541
propithecus_coquereli ENSPCOG00000023579
microcebus_murinus ENSMICG00000035390
gorilla_gorilla ENSGGOG00000015236
homo_sapiens ENSG00000167461
pan_paniscus ENSPPAG00000040543
pan_troglodytes ENSPTRG00000010639
pongo_abelii ENSPPYG00000009682
nomascus_leucogenys ENSNLEG00000030164
macaca_mulatta ENSMMUG00000015784
macaca_fascicularis ENSMFAG00000035674
macaca_nemestrina ENSMNEG00000044260
mandrillus_leucophaeus ENSMLEG00000040856
theropithecus_gelada ENSTGEG00000009853
chlorocebus_sabaeus ENSCSAG00000005783
rhinopithecus_bieti ENSRBIG00000039449
rhinopithecus_roxellana ENSRROG00000029919
colobus_angolensis_palliatus ENSCANG00000042879
piliocolobus_tephrosceles ENSPTEG00000034649
saimiri_boliviensis_boliviensis ENSSBOG00000023878
cebus_capucinus_imitator ENSCCAG00000029769
callithrix_jacchus ENSCJAG00000039886
callithrix_jacchus ENSCJAG00000043073
aotus_nancymaae ENSANAG00000026616
urocitellus_parryii ENSUPAG00010021732
marmota_marmota_marmota ENSMMMG00000023118
ictidomys_tridecemlineatus ENSSTOG00000025380
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004165
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004785
fukomys_damarensis ENSFDAG00000000552
chinchilla_lanigera ENSCLAG00000006073
octodon_degus ENSODEG00000001241
cavia_aperea ENSCAPG00000008144
cavia_porcellus ENSCPOG00000036546
castor_canadensis ENSCCNG00000014572
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032331
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000003037
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031211
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021676
rattus_norvegicus ENSRNOG00000014621
meriones_unguiculatus ENSMUGG00000013777
cricetulus_griseus_crigri-picr ENSCGRG00015007159
cricetulus_griseus_crigri_1.0 ENSCGRG00000014196
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017409
mesocricetus_auratus ENSMAUG00000002425
peromyscus_maniculatus_bairdii ENSPEMG00000016695
microtus_ochrogaster ENSMOCG00000013837
nannospalax_galili ENSNGAG00000007021
jaculus_jaculus ENSJJAG00000021959
ochotona_princeps ENSOPRG00000001754
dipodomys_ordii ENSDORG00000028823
spermophilus_dauricus ENSSDAG00000007648
tupaia_belangeri ENSTBEG00000012955
equus_caballus ENSECAG00000006184
loxodonta_africana ENSLAFG00000004032
echinops_telfairi ENSETEG00000001819
otolemur_garnettii ENSOGAG00000013894
procavia_capensis ENSPCAG00000006568
ornithorhynchus_anatinus ENSOANG00000002825
chelonoidis_abingdonii ENSCABG00000010875
gopherus_agassizii ENSGAGG00000019649
chrysemys_picta_bellii ENSCPBG00000015027
pelodiscus_sinensis ENSPSIG00000007911
calidris_pygmaea ENSCPGG00000009176
calidris_pugnax ENSCPUG00000019534
meleagris_gallopavo ENSMGAG00000016553
cyanistes_caeruleus ENSCCEG00000010434
parus_major ENSPMJG00000012908
ficedula_albicollis ENSFALG00000013446
serinus_canaria ENSSCAG00000015132
taeniopygia_guttata ENSTGUG00000000716
zonotrichia_albicollis ENSZALG00000013137
junco_hyemalis ENSJHYG00000013968
lonchura_striata_domestica ENSLSDG00000008537
lepidothrix_coronata ENSLCOG00000006862
manacus_vitellinus ENSMVIG00005013313
nothoprocta_perdicaria ENSNPEG00000010167
anser_brachyrhynchus ENSABRG00000015512
anas_platyrhynchos_platyrhynchos ENSAPLG00000008784
gallus_gallus ENSGALG00000028851
coturnix_japonica ENSCJPG00005015428
numida_meleagris ENSNMEG00000005040
apteryx_rowi ENSARWG00000018646
apteryx_haastii ENSAHAG00000013239
apteryx_owenii ENSAOWG00000012294
dromaius_novaehollandiae ENSDNVG00000014621
melopsittacus_undulatus ENSMUNG00000013632
crocodylus_porosus ENSCPRG00005017794
sphenodon_punctatus ENSSPUG00000014974
sphenodon_punctatus ENSSPUG00000000978
sphenodon_punctatus ENSSPUG00000018663
pogona_vitticeps ENSPVIG00000015104
anolis_carolinensis ENSACAG00000014756
salvator_merianae ENSSMRG00000006878
notechis_scutatus ENSNSUG00000016073
xenopus_tropicalis ENSXETG00000008740
latimeria_chalumnae ENSLACG00000017882
astyanax_mexicanus ENSAMXG00000002853
pygocentrus_nattereri ENSPNAG00000005890
ictalurus_punctatus ENSIPUG00000006761
danio_rerio ENSDARG00000067920
seriola_lalandi_dorsalis ENSSLDG00000009731
seriola_dumerili ENSSDUG00000010203
monopterus_albus ENSMALG00000016375
mola_mola ENSMMOG00000020858
labrus_bergylta ENSLBEG00000016748
anabas_testudineus ENSATEG00000021347
