macaca_nemestrina ENSMNEG00000027123
macaca_mulatta ENSMMUG00000043591
macaca_fascicularis ENSMFAG00000008838
theropithecus_gelada ENSTGEG00000020883
papio_anubis ENSPANG00000034670
mandrillus_leucophaeus ENSMLEG00000000851
cercocebus_atys ENSCATG00000017253
piliocolobus_tephrosceles ENSPTEG00000030597
pan_paniscus ENSPPAG00000008964
pan_troglodytes ENSPTRG00000045650
gorilla_gorilla ENSGGOG00000037302
callithrix_jacchus ENSCJAG00000043747
aotus_nancymaae ENSANAG00000020702
prolemur_simus ENSPSMG00000021882
fukomys_damarensis ENSFDAG00000021033
