fundulus_heteroclitus ENSFHEG00000012362
cyprinodon_variegatus ENSCVAG00000005259
poecilia_formosa ENSPFOG00000004938
poecilia_latipinna ENSPLAG00000016059
poecilia_mexicana ENSPMEG00000021157
poecilia_reticulata ENSPREG00000021466
xiphophorus_maculatus ENSXMAG00000024537
xiphophorus_couchianus ENSXCOG00000017038
gambusia_affinis ENSGAFG00000020625
kryptolebias_marmoratus ENSKMAG00000013133
oryzias_latipes_asm223471v1 ENSORLG00020003796
oryzias_latipes_asm223469v1 ENSORLG00015021225
oryzias_latipes_asm223467v1 ENSORLG00000010901
oryzias_melastigma ENSOMEG00000001258
amphiprion_ocellaris ENSAOCG00000006738
amphiprion_percula ENSAPEG00000023299
acanthochromis_polyacanthus ENSAPOG00000000718
stegastes_partitus ENSSPAG00000023309
gasterosteus_aculeatus ENSGACG00000003054
cynoglossus_semilaevis ENSCSEG00000014462
periophthalmus_magnuspinnatus ENSPMGG00000004708
takifugu_rubripes ENSTRUG00000001121
tetraodon_nigroviridis ENSTNIG00000000874
hippocampus_comes ENSHCOG00000014312
stegastes_partitus ENSSPAG00000013972
monopterus_albus ENSMALG00000020436
mastacembelus_armatus ENSMAMG00000010125
anabas_testudineus ENSATEG00000008720
seriola_dumerili ENSSDUG00000017805
seriola_lalandi_dorsalis ENSSLDG00000006629
scophthalmus_maximus ENSSMAG00000005914
maylandia_zebra ENSMZEG00005008420
pundamilia_nyererei ENSPNYG00000019176
astatotilapia_calliptera ENSACLG00000013534
haplochromis_burtoni ENSHBUG00000009420
oreochromis_niloticus ENSONIG00000018549
amphilophus_citrinellus ENSACIG00000019512
mola_mola ENSMMOG00000017776
gadus_morhua ENSGMOG00000016757
esox_lucius ENSELUG00000018076
pygocentrus_nattereri ENSPNAG00000029799
astyanax_mexicanus ENSAMXG00000031447
ictalurus_punctatus ENSIPUG00000008110
danio_rerio ENSDARG00000069677
scleropages_formosus ENSSFOG00015008254
paramormyrops_kingsleyae ENSPKIG00000010313
lepisosteus_oculatus ENSLOCG00000013395
anolis_carolinensis ENSACAG00000007492
pogona_vitticeps ENSPVIG00000024854
notechis_scutatus ENSNSUG00000006876
salvator_merianae ENSSMRG00000007528
sphenodon_punctatus ENSSPUG00000003176
chelonoidis_abingdonii ENSCABG00000018623
gopherus_agassizii ENSGAGG00000018680
chrysemys_picta_bellii ENSCPBG00000010908
pelodiscus_sinensis ENSPSIG00000016831
junco_hyemalis ENSJHYG00000006472
lepidothrix_coronata ENSLCOG00000001241
taeniopygia_guttata ENSTGUG00000005184
serinus_canaria ENSSCAG00000013412
lonchura_striata_domestica ENSLSDG00000017759
zonotrichia_albicollis ENSZALG00000017784
ficedula_albicollis ENSFALG00000009009
parus_major ENSPMJG00000005141
cyanistes_caeruleus ENSCCEG00000004597
calidris_pugnax ENSCPUG00000012135
calidris_pygmaea ENSCPGG00000002644
gallus_gallus ENSGALG00000036089
coturnix_japonica ENSCJPG00005010490
numida_meleagris ENSNMEG00000002763
anser_brachyrhynchus ENSABRG00000019636
apteryx_haastii ENSAHAG00000014248
apteryx_owenii ENSAOWG00000008343
dromaius_novaehollandiae ENSDNVG00000012071
nothoprocta_perdicaria ENSNPEG00000012669
phascolarctos_cinereus ENSPCIG00000011868
