marmota_marmota_marmota ENSMMMG00000000085
spermophilus_dauricus ENSSDAG00000020956
ictidomys_tridecemlineatus ENSSTOG00000033594
cricetulus_griseus_crigri_1.0 ENSCGRG00000010272
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000970
cricetulus_griseus_crigri-picr ENSCGRG00015006516
peromyscus_maniculatus_bairdii ENSPEMG00000025531
cebus_capucinus_imitator ENSCCAG00000035915
ursus_americanus ENSUAMG00000009472
ursus_maritimus ENSUMAG00000018530
ailuropoda_melanoleuca ENSAMEG00000014186
neovison_vison ENSNVIG00000000247
mustela_putorius_furo ENSMPUG00000020002
canis_lupus_dingo ENSCAFG00020001346
canis_lupus_familiaris ENSCAFG00000030249
vulpes_vulpes ENSVVUG00000016920
panthera_pardus ENSPPRG00000002318
panthera_tigris_altaica ENSPTIG00000004509
felis_catus ENSFCAG00000044492
equus_caballus ENSECAG00000029673
bos_taurus ENSBTAG00000053849
bison_bison_bison ENSBBBG00000008021
bos_mutus ENSBMUG00000005634
bos_taurus ENSBTAG00000049324
capra_hircus ENSCHIG00000004392
ovis_aries ENSOARG00000011795
dasypus_novemcinctus ENSDNOG00000037321
