cavia_porcellus ENSCPOG00000035605
cavia_aperea ENSCAPG00000007542
chinchilla_lanigera ENSCLAG00000000909
octodon_degus ENSODEG00000005362
octodon_degus ENSODEG00000018903
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006922
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003903
fukomys_damarensis ENSFDAG00000004839
marmota_marmota_marmota ENSMMMG00000002155
oryctolagus_cuniculus ENSOCUG00000014289
ochotona_princeps ENSOPRG00000011259
dipodomys_ordii ENSDORG00000010277
sorex_araneus ENSSARG00000010372
erinaceus_europaeus ENSEEUG00000001458
myotis_lucifugus ENSMLUG00000026933
carlito_syrichta ENSTSYG00000025705
ictidomys_tridecemlineatus ENSSTOG00000004944
urocitellus_parryii ENSUPAG00010008617
castor_canadensis ENSCCNG00000003488
cricetulus_griseus_crigri-picr ENSCGRG00015006070
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016978
mesocricetus_auratus ENSMAUG00000007864
microtus_ochrogaster ENSMOCG00000018286
peromyscus_maniculatus_bairdii ENSPEMG00000018619
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020731
mus_spicilegus ENSMSIG00000013529
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022346
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019833
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019842
rattus_norvegicus ENSRNOG00000004500
meriones_unguiculatus ENSMUGG00000025248
nannospalax_galili ENSNGAG00000021358
jaculus_jaculus ENSJJAG00000012619
microcebus_murinus ENSMICG00000014990
propithecus_coquereli ENSPCOG00000010889
prolemur_simus ENSPSMG00000005378
otolemur_garnettii ENSOGAG00000005372
pan_troglodytes ENSPTRG00000020581
pan_paniscus ENSPPAG00000026360
homo_sapiens ENSG00000136997
gorilla_gorilla ENSGGOG00000012135
pongo_abelii ENSPPYG00000018878
nomascus_leucogenys ENSNLEG00000005570
macaca_nemestrina ENSMNEG00000020890
macaca_fascicularis ENSMFAG00000034186
macaca_mulatta ENSMMUG00000014601
mandrillus_leucophaeus ENSMLEG00000032954
cercocebus_atys ENSCATG00000037779
papio_anubis ENSPANG00000010418
theropithecus_gelada ENSTGEG00000010754
chlorocebus_sabaeus ENSCSAG00000010109
rhinopithecus_bieti ENSRBIG00000040458
rhinopithecus_roxellana ENSRROG00000032307
colobus_angolensis_palliatus ENSCANG00000038572
piliocolobus_tephrosceles ENSPTEG00000030946
cebus_capucinus_imitator ENSCCAG00000032999
saimiri_boliviensis_boliviensis ENSSBOG00000025820
callithrix_jacchus ENSCJAG00000012620
aotus_nancymaae ENSANAG00000024521
tupaia_belangeri ENSTBEG00000005715
capra_hircus ENSCHIG00000013686
ovis_aries ENSOARG00000008027
bos_taurus ENSBTAG00000008409
bos_mutus ENSBMUG00000008022
bison_bison_bison ENSBBBG00000022548
tursiops_truncatus ENSTTRG00000016278
sus_scrofa ENSSSCG00000005965
vicugna_pacos ENSVPAG00000005895
equus_caballus ENSECAG00000022059
ailuropoda_melanoleuca ENSAMEG00000014717
ursus_americanus ENSUAMG00000024264
mustela_putorius_furo ENSMPUG00000001327
neovison_vison ENSNVIG00000008865
canis_lupus_familiaris ENSCAFG00000001086
canis_lupus_dingo ENSCAFG00020006613
vulpes_vulpes ENSVVUG00000016922
panthera_pardus ENSPPRG00000023691
felis_catus ENSFCAG00000041539
loxodonta_africana ENSLAFG00000001410
procavia_capensis ENSPCAG00000008554
dasypus_novemcinctus ENSDNOG00000048399
phascolarctos_cinereus ENSPCIG00000005677
notamacropus_eugenii ENSMEUG00000006124
monodelphis_domestica ENSMODG00000001735
ornithorhynchus_anatinus ENSOANG00000008107
crocodylus_porosus ENSCPRG00005005050
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049086
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024212
mus_spicilegus ENSMSIG00000029608
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023295
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024753
rattus_norvegicus ENSRNOG00000042556
meriones_unguiculatus ENSMUGG00000022883
cricetulus_griseus_crigri_1.0 ENSCGRG00000019948
cricetulus_griseus_crigri-picr ENSCGRG00015008082
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008874
mesocricetus_auratus ENSMAUG00000008342
microtus_ochrogaster ENSMOCG00000001390
peromyscus_maniculatus_bairdii ENSPEMG00000026709
salvator_merianae ENSSMRG00000001110
notechis_scutatus ENSNSUG00000005493
pogona_vitticeps ENSPVIG00000000809
anolis_carolinensis ENSACAG00000010372
sphenodon_punctatus ENSSPUG00000007239
calidris_pygmaea ENSCPGG00000005183
calidris_pugnax ENSCPUG00000008864
anser_brachyrhynchus ENSABRG00000004255
anas_platyrhynchos_platyrhynchos ENSAPLG00000013997
junco_hyemalis ENSJHYG00000009657
lonchura_striata_domestica ENSLSDG00000000670
parus_major ENSPMJG00000011339
lepidothrix_coronata ENSLCOG00000004538
ficedula_albicollis ENSFALG00000002546
manacus_vitellinus ENSMVIG00005012364
taeniopygia_guttata ENSTGUG00000012513
cyanistes_caeruleus ENSCCEG00000008625
zonotrichia_albicollis ENSZALG00000014524
melopsittacus_undulatus ENSMUNG00000016745
apteryx_owenii ENSAOWG00000005908
apteryx_rowi ENSARWG00000006301
apteryx_haastii ENSAHAG00000004242
dromaius_novaehollandiae ENSDNVG00000007828
nothoprocta_perdicaria ENSNPEG00000007253
coturnix_japonica ENSCJPG00005006041
meleagris_gallopavo ENSMGAG00000015875
gallus_gallus ENSGALG00000033631
numida_meleagris ENSNMEG00000008630
serinus_canaria ENSSCAG00000007609
crocodylus_porosus ENSCPRG00005009779
gopherus_agassizii ENSGAGG00000021479
chelonoidis_abingdonii ENSCABG00000001363
chrysemys_picta_bellii ENSCPBG00000020576
pelodiscus_sinensis ENSPSIG00000008301
xenopus_tropicalis ENSXETG00000025372
latimeria_chalumnae ENSLACG00000017161
scleropages_formosus ENSSFOG00015020183
scleropages_formosus ENSSFOG00015018992
paramormyrops_kingsleyae ENSPKIG00000017411
esox_lucius ENSELUG00000007557
esox_lucius ENSELUG00000018255
pygocentrus_nattereri ENSPNAG00000025234
astyanax_mexicanus ENSAMXG00000043266
ictalurus_punctatus ENSIPUG00000002912
danio_rerio ENSDARG00000007241
mastacembelus_armatus ENSMAMG00000018387
monopterus_albus ENSMALG00000001015
anabas_testudineus ENSATEG00000007778
poecilia_mexicana ENSPMEG00000015429
poecilia_formosa ENSPFOG00000018966
poecilia_latipinna ENSPLAG00000018883
poecilia_reticulata ENSPREG00000004541
gambusia_affinis ENSGAFG00000020511
xiphophorus_maculatus ENSXMAG00000003897
fundulus_heteroclitus ENSFHEG00000000546
cyprinodon_variegatus ENSCVAG00000020424
kryptolebias_marmoratus ENSKMAG00000000377
oryzias_latipes_asm223467v1 ENSORLG00000029789
oryzias_latipes_asm223469v1 ENSORLG00015014983
oryzias_melastigma ENSOMEG00000023696
pundamilia_nyererei ENSPNYG00000020230
astatotilapia_calliptera ENSACLG00000023215
haplochromis_burtoni ENSHBUG00000012994
maylandia_zebra ENSMZEG00005001095
neolamprologus_brichardi ENSNBRG00000004833
oreochromis_niloticus ENSONIG00000013987
amphilophus_citrinellus ENSACIG00000023156
amphiprion_ocellaris ENSAOCG00000022734
amphiprion_percula ENSAPEG00000005657
acanthochromis_polyacanthus ENSAPOG00000000256
stegastes_partitus ENSSPAG00000010240
seriola_lalandi_dorsalis ENSSLDG00000005966
seriola_lalandi_dorsalis ENSSLDG00000005516
seriola_dumerili ENSSDUG00000023760
scophthalmus_maximus ENSSMAG00000006767
labrus_bergylta ENSLBEG00000026252
paramormyrops_kingsleyae ENSPKIG00000016592
neolamprologus_brichardi ENSNBRG00000013587
cynoglossus_semilaevis ENSCSEG00000019889
tetraodon_nigroviridis ENSTNIG00000017136
poecilia_formosa ENSPFOG00000013425
poecilia_formosa ENSPFOG00000013399
poecilia_latipinna ENSPLAG00000012165
