heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020760
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019770
fukomys_damarensis ENSFDAG00000000707
cavia_porcellus ENSCPOG00000010678
cavia_aperea ENSCAPG00000007964
mus_spicilegus ENSMSIG00000024430
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026008
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000098207
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025066
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026509
rattus_norvegicus ENSRNOG00000049827
meriones_unguiculatus ENSMUGG00000020989
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008210
cricetulus_griseus_crigri_1.0 ENSCGRG00000020042
cricetulus_griseus_crigri-picr ENSCGRG00015023662
mesocricetus_auratus ENSMAUG00000015654
microtus_ochrogaster ENSMOCG00000004173
peromyscus_maniculatus_bairdii ENSPEMG00000020737
nannospalax_galili ENSNGAG00000017340
castor_canadensis ENSCCNG00000024880
spermophilus_dauricus ENSSDAG00000001745
spermophilus_dauricus ENSSDAG00000008963
spermophilus_dauricus ENSSDAG00000001713
urocitellus_parryii ENSUPAG00010009213
marmota_marmota_marmota ENSMMMG00000004089
ictidomys_tridecemlineatus ENSSTOG00000003371
oryctolagus_cuniculus ENSOCUG00000021985
ochotona_princeps ENSOPRG00000001028
microcebus_murinus ENSMICG00000049117
prolemur_simus ENSPSMG00000009055
ursus_americanus ENSUAMG00000020459
ursus_maritimus ENSUMAG00000011131
ailuropoda_melanoleuca ENSAMEG00000019231
mustela_putorius_furo ENSMPUG00000018993
neovison_vison ENSNVIG00000003076
canis_lupus_dingo ENSCAFG00020021117
canis_lupus_familiaris ENSCAFG00000014316
vulpes_vulpes ENSVVUG00000023045
panthera_tigris_altaica ENSPTIG00000007233
panthera_pardus ENSPPRG00000021892
felis_catus ENSFCAG00000004686
mandrillus_leucophaeus ENSMLEG00000028348
cercocebus_atys ENSCATG00000017494
papio_anubis ENSPANG00000014317
theropithecus_gelada ENSTGEG00000001327
chlorocebus_sabaeus ENSCSAG00000018891
macaca_fascicularis ENSMFAG00000028826
macaca_nemestrina ENSMNEG00000026952
macaca_mulatta ENSMMUG00000031560
rhinopithecus_roxellana ENSRROG00000028332
rhinopithecus_bieti ENSRBIG00000044184
colobus_angolensis_palliatus ENSCANG00000014873
piliocolobus_tephrosceles ENSPTEG00000020505
pan_troglodytes ENSPTRG00000048684
pan_paniscus ENSPPAG00000017014
homo_sapiens ENSG00000179674
gorilla_gorilla ENSGGOG00000036228
pongo_abelii ENSPPYG00000014260
nomascus_leucogenys ENSNLEG00000030124
tupaia_belangeri ENSTBEG00000005473
pteropus_vampyrus ENSPVAG00000004076
myotis_lucifugus ENSMLUG00000013429
bos_taurus ENSBTAG00000017322
bos_mutus ENSBMUG00000023918
bison_bison_bison ENSBBBG00000004289
ovis_aries ENSOARG00000014982
capra_hircus ENSCHIG00000006468
sus_scrofa ENSSSCG00000011734
vicugna_pacos ENSVPAG00000008776
equus_caballus ENSECAG00000007772
equus_asinus_asinus ENSEASG00005019793
choloepus_hoffmanni ENSCHOG00000002404
otolemur_garnettii ENSOGAG00000033920
loxodonta_africana ENSLAFG00000010461
procavia_capensis ENSPCAG00000004406
echinops_telfairi ENSETEG00000000437
erinaceus_europaeus ENSEEUG00000015705
notamacropus_eugenii ENSMEUG00000001341
phascolarctos_cinereus ENSPCIG00000035770
sarcophilus_harrisii ENSSHAG00000016852
monodelphis_domestica ENSMODG00000024630
ornithorhynchus_anatinus ENSOANG00000009134
chrysemys_picta_bellii ENSCPBG00000018327
gopherus_agassizii ENSGAGG00000014586
pelodiscus_sinensis ENSPSIG00000000950
calidris_pygmaea ENSCPGG00000002744
calidris_pugnax ENSCPUG00000015790
taeniopygia_guttata ENSTGUG00000011157
lonchura_striata_domestica ENSLSDG00000006565
serinus_canaria ENSSCAG00000009672
zonotrichia_albicollis ENSZALG00000009244
junco_hyemalis ENSJHYG00000004154
ficedula_albicollis ENSFALG00000014391
parus_major ENSPMJG00000005798
cyanistes_caeruleus ENSCCEG00000005638
manacus_vitellinus ENSMVIG00005017076
lepidothrix_coronata ENSLCOG00000005134
melopsittacus_undulatus ENSMUNG00000016480
anas_platyrhynchos_platyrhynchos ENSAPLG00000001749
anser_brachyrhynchus ENSABRG00000004986
gallus_gallus ENSGALG00000043623
coturnix_japonica ENSCJPG00005018077
meleagris_gallopavo ENSMGAG00000016061
numida_meleagris ENSNMEG00000014022
apteryx_owenii ENSAOWG00000015492
apteryx_rowi ENSARWG00000015460
apteryx_haastii ENSAHAG00000015335
nothoprocta_perdicaria ENSNPEG00000002049
dromaius_novaehollandiae ENSDNVG00000009086
anolis_carolinensis ENSACAG00000007333
pogona_vitticeps ENSPVIG00000020414
notechis_scutatus ENSNSUG00000002478
salvator_merianae ENSSMRG00000000380
sphenodon_punctatus ENSSPUG00000018772
xenopus_tropicalis ENSXETG00000008725
