astatotilapia_calliptera ENSACLG00000015978
maylandia_zebra ENSMZEG00005015048
oryzias_latipes_asm223471v1 ENSORLG00020008460
oryzias_latipes_asm223469v1 ENSORLG00015006333
oryzias_latipes_asm223469v1 ENSORLG00015003543
oryzias_latipes_asm223467v1 ENSORLG00000023017
oryzias_latipes_asm223467v1 ENSORLG00000024809
oryzias_latipes_asm223471v1 ENSORLG00020017334
monopterus_albus ENSMALG00000000748
notechis_scutatus ENSNSUG00000017375
notechis_scutatus ENSNSUG00000000902
salvator_merianae ENSSMRG00000007291
pogona_vitticeps ENSPVIG00000005148
sphenodon_punctatus ENSSPUG00000015995
