poecilia_formosa ENSPFOG00000009359
poecilia_mexicana ENSPMEG00000016594
poecilia_latipinna ENSPLAG00000001964
poecilia_reticulata ENSPREG00000016177
xiphophorus_maculatus ENSXMAG00000027777
fundulus_heteroclitus ENSFHEG00000016388
kryptolebias_marmoratus ENSKMAG00000003027
oryzias_latipes_asm223469v1 ENSORLG00015002468
oryzias_latipes_asm223467v1 ENSORLG00000009142
oryzias_melastigma ENSOMEG00000023392
haplochromis_burtoni ENSHBUG00000011257
maylandia_zebra ENSMZEG00005018225
seriola_dumerili ENSSDUG00000014234
seriola_lalandi_dorsalis ENSSLDG00000013540
scophthalmus_maximus ENSSMAG00000014176
labrus_bergylta ENSLBEG00000027710
anabas_testudineus ENSATEG00000005085
acanthochromis_polyacanthus ENSAPOG00000015299
amphiprion_ocellaris ENSAOCG00000020387
stegastes_partitus ENSSPAG00000020707
takifugu_rubripes ENSTRUG00000018281
oreochromis_niloticus ENSONIG00000009959
pundamilia_nyererei ENSPNYG00000012029
astatotilapia_calliptera ENSACLG00000008346
amphilophus_citrinellus ENSACIG00000007666
amphiprion_percula ENSAPEG00000018364
xiphophorus_couchianus ENSXCOG00000003526
mola_mola ENSMMOG00000006300
hippocampus_comes ENSHCOG00000005695
cynoglossus_semilaevis ENSCSEG00000014808
gadus_morhua ENSGMOG00000008321
esox_lucius ENSELUG00000004138
astyanax_mexicanus ENSAMXG00000037978
danio_rerio ENSDARG00000099464
latimeria_chalumnae ENSLACG00000022220
pygocentrus_nattereri ENSPNAG00000003303
astyanax_mexicanus ENSAMXG00000042579
ictalurus_punctatus ENSIPUG00000022548
danio_rerio ENSDARG00000077626
fundulus_heteroclitus ENSFHEG00000016187
mola_mola ENSMMOG00000011637
mastacembelus_armatus ENSMAMG00000020075
periophthalmus_magnuspinnatus ENSPMGG00000000885
paramormyrops_kingsleyae ENSPKIG00000022452
lepisosteus_oculatus ENSLOCG00000010139
phascolarctos_cinereus ENSPCIG00000009587
notamacropus_eugenii ENSMEUG00000000725
monodelphis_domestica ENSMODG00000029617
bos_taurus ENSBTAG00000003110
bos_mutus ENSBMUG00000011247
bison_bison_bison ENSBBBG00000024801
capra_hircus ENSCHIG00000013665
ovis_aries ENSOARG00000010408
tursiops_truncatus ENSTTRG00000000665
sus_scrofa ENSSSCG00000033199
vicugna_pacos ENSVPAG00000001348
pteropus_vampyrus ENSPVAG00000012063
equus_caballus ENSECAG00000038857
equus_asinus_asinus ENSEASG00005001949
canis_lupus_familiaris ENSCAFG00000006573
canis_lupus_dingo ENSCAFG00020011851
ailuropoda_melanoleuca ENSAMEG00000010221
mustela_putorius_furo ENSMPUG00000016951
panthera_pardus ENSPPRG00000010647
panthera_tigris_altaica ENSPTIG00000021331
felis_catus ENSFCAG00000031787
oryctolagus_cuniculus ENSOCUG00000003703
ochotona_princeps ENSOPRG00000014591
callithrix_jacchus ENSCJAG00000041909
saimiri_boliviensis_boliviensis ENSSBOG00000027474
cebus_capucinus_imitator ENSCCAG00000024091
aotus_nancymaae ENSANAG00000020763
pan_paniscus ENSPPAG00000038870
pan_troglodytes ENSPTRG00000015091
homo_sapiens ENSG00000163377
gorilla_gorilla ENSGGOG00000010868
pongo_abelii ENSPPYG00000013732
nomascus_leucogenys ENSNLEG00000001971
rhinopithecus_roxellana ENSRROG00000045447
rhinopithecus_bieti ENSRBIG00000039642
piliocolobus_tephrosceles ENSPTEG00000028061
colobus_angolensis_palliatus ENSCANG00000010128
mandrillus_leucophaeus ENSMLEG00000035873
cercocebus_atys ENSCATG00000041495
papio_anubis ENSPANG00000024537
theropithecus_gelada ENSTGEG00000025740
macaca_fascicularis ENSMFAG00000020992
macaca_nemestrina ENSMNEG00000020663
macaca_mulatta ENSMMUG00000020918
chlorocebus_sabaeus ENSCSAG00000011689
carlito_syrichta ENSTSYG00000001226
propithecus_coquereli ENSPCOG00000014705
prolemur_simus ENSPSMG00000017971
dasypus_novemcinctus ENSDNOG00000043729
tupaia_belangeri ENSTBEG00000007797
vulpes_vulpes ENSVVUG00000014489
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028675
choloepus_hoffmanni ENSCHOG00000000014
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029702
mus_spicilegus ENSMSIG00000031606
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046500
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022425
rattus_norvegicus ENSRNOG00000005830
meriones_unguiculatus ENSMUGG00000009131
peromyscus_maniculatus_bairdii ENSPEMG00000009755
microtus_ochrogaster ENSMOCG00000019487
cricetulus_griseus_crigri_1.0 ENSCGRG00000018091
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013503
cricetulus_griseus_crigri-picr ENSCGRG00015015434
mesocricetus_auratus ENSMAUG00000019968
nannospalax_galili ENSNGAG00000020616
jaculus_jaculus ENSJJAG00000023530
dipodomys_ordii ENSDORG00000028398
procavia_capensis ENSPCAG00000016526
echinops_telfairi ENSETEG00000011227
cavia_aperea ENSCAPG00000001230
cavia_porcellus ENSCPOG00000013292
chinchilla_lanigera ENSCLAG00000011274
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009937
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002079
fukomys_damarensis ENSFDAG00000008241
octodon_degus ENSODEG00000005744
ursus_maritimus ENSUMAG00000023986
otolemur_garnettii ENSOGAG00000012090
microcebus_murinus ENSMICG00000042440
neovison_vison ENSNVIG00000010789
ursus_americanus ENSUAMG00000000729
erinaceus_europaeus ENSEEUG00000007189
castor_canadensis ENSCCNG00000000844
loxodonta_africana ENSLAFG00000004079
ornithorhynchus_anatinus ENSOANG00000002583
sarcophilus_harrisii ENSSHAG00000015539
marmota_marmota_marmota ENSMMMG00000004803
anolis_carolinensis ENSACAG00000029595
pogona_vitticeps ENSPVIG00000007693
notechis_scutatus ENSNSUG00000007226
salvator_merianae ENSSMRG00000001030
sphenodon_punctatus ENSSPUG00000011995
gopherus_agassizii ENSGAGG00000010872
gopherus_agassizii ENSGAGG00000010875
chelonoidis_abingdonii ENSCABG00000002975
chrysemys_picta_bellii ENSCPBG00000000202
pelodiscus_sinensis ENSPSIG00000014008
apteryx_owenii ENSAOWG00000013127
apteryx_haastii ENSAHAG00000016767
apteryx_rowi ENSARWG00000018805
dromaius_novaehollandiae ENSDNVG00000012170
nothoprocta_perdicaria ENSNPEG00000002955
anser_brachyrhynchus ENSABRG00000017510
anas_platyrhynchos_platyrhynchos ENSAPLG00000014143
gallus_gallus ENSGALG00000042228
coturnix_japonica ENSCJPG00005018097
numida_meleagris ENSNMEG00000020824
melopsittacus_undulatus ENSMUNG00000015407
calidris_pugnax ENSCPUG00000019588
calidris_pygmaea ENSCPGG00000008356
manacus_vitellinus ENSMVIG00005017463
lepidothrix_coronata ENSLCOG00000005579
parus_major ENSPMJG00000005234
cyanistes_caeruleus ENSCCEG00000021015
lonchura_striata_domestica ENSLSDG00000008981
serinus_canaria ENSSCAG00000007848
zonotrichia_albicollis ENSZALG00000013659
junco_hyemalis ENSJHYG00000013353
ficedula_albicollis ENSFALG00000013356
taeniopygia_guttata ENSTGUG00000009681
meleagris_gallopavo ENSMGAG00000009332
crocodylus_porosus ENSCPRG00005015878
latimeria_chalumnae ENSLACG00000015098
petromyzon_marinus ENSPMAG00000001391
eptatretus_burgeri ENSEBUG00000009672
