hippocampus_comes ENSHCOG00000018744
periophthalmus_magnuspinnatus ENSPMGG00000019272
takifugu_rubripes ENSTRUG00000003761
tetraodon_nigroviridis ENSTNIG00000017372
mola_mola ENSMMOG00000000521
labrus_bergylta ENSLBEG00000020298
gasterosteus_aculeatus ENSGACG00000008015
mastacembelus_armatus ENSMAMG00000003365
monopterus_albus ENSMALG00000006911
anabas_testudineus ENSATEG00000022163
scophthalmus_maximus ENSSMAG00000002897
cynoglossus_semilaevis ENSCSEG00000000227
seriola_lalandi_dorsalis ENSSLDG00000019301
seriola_dumerili ENSSDUG00000001841
amphiprion_percula ENSAPEG00000023929
amphiprion_ocellaris ENSAOCG00000005918
acanthochromis_polyacanthus ENSAPOG00000014624
stegastes_partitus ENSSPAG00000011267
maylandia_zebra ENSMZEG00005008499
astatotilapia_calliptera ENSACLG00000022413
pundamilia_nyererei ENSPNYG00000022863
haplochromis_burtoni ENSHBUG00000020583
neolamprologus_brichardi ENSNBRG00000006283
oreochromis_niloticus ENSONIG00000020147
amphilophus_citrinellus ENSACIG00000024343
poecilia_mexicana ENSPMEG00000008238
poecilia_mexicana ENSPMEG00000016090
poecilia_latipinna ENSPLAG00000004312
poecilia_formosa ENSPFOG00000003458
poecilia_reticulata ENSPREG00000011274
xiphophorus_maculatus ENSXMAG00000015406
xiphophorus_couchianus ENSXCOG00000009471
gambusia_affinis ENSGAFG00000015419
fundulus_heteroclitus ENSFHEG00000016139
cyprinodon_variegatus ENSCVAG00000017948
kryptolebias_marmoratus ENSKMAG00000004247
oryzias_latipes_asm223471v1 ENSORLG00020008196
oryzias_latipes_asm223467v1 ENSORLG00000016086
oryzias_latipes_asm223469v1 ENSORLG00015007604
oryzias_melastigma ENSOMEG00000000608
gadus_morhua ENSGMOG00000010331
esox_lucius ENSELUG00000009211
pygocentrus_nattereri ENSPNAG00000009244
astyanax_mexicanus ENSAMXG00000008176
ictalurus_punctatus ENSIPUG00000000642
danio_rerio ENSDARG00000013134
scleropages_formosus ENSSFOG00015015225
paramormyrops_kingsleyae ENSPKIG00000004945
labrus_bergylta ENSLBEG00000018904
labrus_bergylta ENSLBEG00000014555
gasterosteus_aculeatus ENSGACG00000013713
tetraodon_nigroviridis ENSTNIG00000004800
takifugu_rubripes ENSTRUG00000016317
mola_mola ENSMMOG00000017800
seriola_lalandi_dorsalis ENSSLDG00000025688
seriola_dumerili ENSSDUG00000016460
scophthalmus_maximus ENSSMAG00000010686
mastacembelus_armatus ENSMAMG00000001951
monopterus_albus ENSMALG00000015578
