equus_caballus ENSECAG00000039388
equus_asinus_asinus ENSEASG00005010451
panthera_pardus ENSPPRG00000002741
panthera_tigris_altaica ENSPTIG00000006175
sus_scrofa ENSSSCG00000033615
pan_paniscus ENSPPAG00000042775
pan_troglodytes ENSPTRG00000047038
gorilla_gorilla ENSGGOG00000043291
nomascus_leucogenys ENSNLEG00000035868
papio_anubis ENSPANG00000035589
theropithecus_gelada ENSTGEG00000025304
macaca_mulatta ENSMMUG00000038520
macaca_nemestrina ENSMNEG00000044028
macaca_fascicularis ENSMFAG00000035994
mandrillus_leucophaeus ENSMLEG00000028980
cercocebus_atys ENSCATG00000030523
rhinopithecus_roxellana ENSRROG00000004844
rhinopithecus_bieti ENSRBIG00000022218
colobus_angolensis_palliatus ENSCANG00000037054
piliocolobus_tephrosceles ENSPTEG00000034034
aotus_nancymaae ENSANAG00000033056
saimiri_boliviensis_boliviensis ENSSBOG00000028232
castor_canadensis ENSCCNG00000014176
zonotrichia_albicollis ENSZALG00000001467
periophthalmus_magnuspinnatus ENSPMGG00000001395
