parus_major ENSPMJG00000017770
serinus_canaria ENSSCAG00000005533
lepidothrix_coronata ENSLCOG00000002891
calidris_pugnax ENSCPUG00000015999
calidris_pygmaea ENSCPGG00000000448
gallus_gallus ENSGALG00000053247
melopsittacus_undulatus ENSMUNG00000001630
anser_brachyrhynchus ENSABRG00000004891
cyanistes_caeruleus ENSCCEG00000006637
nothoprocta_perdicaria ENSNPEG00000010344
dromaius_novaehollandiae ENSDNVG00000007990
crocodylus_porosus ENSCPRG00005002979
gopherus_agassizii ENSGAGG00000020400
chelonoidis_abingdonii ENSCABG00000017866
chrysemys_picta_bellii ENSCPBG00000001112
pelodiscus_sinensis ENSPSIG00000006755
anolis_carolinensis ENSACAG00000001631
pogona_vitticeps ENSPVIG00000018017
salvator_merianae ENSSMRG00000015504
gopherus_agassizii ENSGAGG00000002444
pelodiscus_sinensis ENSPSIG00000006638
anolis_carolinensis ENSACAG00000027223
salvator_merianae ENSSMRG00000009045
gopherus_agassizii ENSGAGG00000012297
phascolarctos_cinereus ENSPCIG00000012702
notamacropus_eugenii ENSMEUG00000011059
monodelphis_domestica ENSMODG00000009553
sarcophilus_harrisii ENSSHAG00000018137
pteropus_vampyrus ENSPVAG00000009868
myotis_lucifugus ENSMLUG00000002090
capra_hircus ENSCHIG00000018635
ovis_aries ENSOARG00000010426
bos_mutus ENSBMUG00000013531
bos_taurus ENSBTAG00000012560
bison_bison_bison ENSBBBG00000014583
sus_scrofa ENSSSCG00000009619
tursiops_truncatus ENSTTRG00000012067
equus_asinus_asinus ENSEASG00005018830
equus_caballus ENSECAG00000021053
neovison_vison ENSNVIG00000022200
mustela_putorius_furo ENSMPUG00000003875
canis_lupus_dingo ENSCAFG00020017847
canis_lupus_familiaris ENSCAFG00000009613
vulpes_vulpes ENSVVUG00000006345
ursus_americanus ENSUAMG00000002408
ursus_maritimus ENSUMAG00000006331
ailuropoda_melanoleuca ENSAMEG00000003331
panthera_pardus ENSPPRG00000014467
panthera_tigris_altaica ENSPTIG00000000868
felis_catus ENSFCAG00000004717
erinaceus_europaeus ENSEEUG00000011975
castor_canadensis ENSCCNG00000005895
dipodomys_ordii ENSDORG00000011167
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022097
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020376
mus_spicilegus ENSMSIG00000031189
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019484
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030501
rattus_norvegicus ENSRNOG00000011177
meriones_unguiculatus ENSMUGG00000010335
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016044
cricetulus_griseus_crigri-picr ENSCGRG00015006844
cricetulus_griseus_crigri_1.0 ENSCGRG00000016479
mesocricetus_auratus ENSMAUG00000013512
microtus_ochrogaster ENSMOCG00000010064
peromyscus_maniculatus_bairdii ENSPEMG00000022130
nannospalax_galili ENSNGAG00000016974
jaculus_jaculus ENSJJAG00000010997
urocitellus_parryii ENSUPAG00010017841
marmota_marmota_marmota ENSMMMG00000017400
spermophilus_dauricus ENSSDAG00000005056
ictidomys_tridecemlineatus ENSSTOG00000016515
cavia_aperea ENSCAPG00000007374
cavia_porcellus ENSCPOG00000021731
chinchilla_lanigera ENSCLAG00000017002
octodon_degus ENSODEG00000007026
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014698
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013617
fukomys_damarensis ENSFDAG00000019207
oryctolagus_cuniculus ENSOCUG00000002024
microcebus_murinus ENSMICG00000001027
prolemur_simus ENSPSMG00000005592
propithecus_coquereli ENSPCOG00000028479
otolemur_garnettii ENSOGAG00000004903
pan_troglodytes ENSPTRG00000020053
pan_paniscus ENSPPAG00000039784
homo_sapiens ENSG00000168484
gorilla_gorilla ENSGGOG00000044090
gorilla_gorilla ENSGGOG00000041620
gorilla_gorilla ENSGGOG00000042152
pongo_abelii ENSPPYG00000018416
nomascus_leucogenys ENSNLEG00000029765
theropithecus_gelada ENSTGEG00000024271
papio_anubis ENSPANG00000020597
mandrillus_leucophaeus ENSMLEG00000039477
cercocebus_atys ENSCATG00000039734
macaca_mulatta ENSMMUG00000013029
macaca_fascicularis ENSMFAG00000003047
macaca_nemestrina ENSMNEG00000031500
chlorocebus_sabaeus ENSCSAG00000016543
rhinopithecus_roxellana ENSRROG00000038698
rhinopithecus_bieti ENSRBIG00000043642
colobus_angolensis_palliatus ENSCANG00000042379
piliocolobus_tephrosceles ENSPTEG00000026126
saimiri_boliviensis_boliviensis ENSSBOG00000004104
cebus_capucinus_imitator ENSCCAG00000024595
callithrix_jacchus ENSCJAG00000020313
aotus_nancymaae ENSANAG00000023981
carlito_syrichta ENSTSYG00000004726
procavia_capensis ENSPCAG00000001831
echinops_telfairi ENSETEG00000002926
choloepus_hoffmanni ENSCHOG00000012055
dasypus_novemcinctus ENSDNOG00000043253
xenopus_tropicalis ENSXETG00000031314
