lepisosteus_oculatus ENSLOCG00000005217
paramormyrops_kingsleyae ENSPKIG00000012408
scleropages_formosus ENSSFOG00015011631
scleropages_formosus ENSSFOG00015009724
amphiprion_ocellaris ENSAOCG00000011748
amphiprion_percula ENSAPEG00000024401
acanthochromis_polyacanthus ENSAPOG00000009623
stegastes_partitus ENSSPAG00000019209
stegastes_partitus ENSSPAG00000023049
maylandia_zebra ENSMZEG00005004160
astatotilapia_calliptera ENSACLG00000006045
pundamilia_nyererei ENSPNYG00000019745
haplochromis_burtoni ENSHBUG00000022011
neolamprologus_brichardi ENSNBRG00000012853
oreochromis_niloticus ENSONIG00000010449
amphilophus_citrinellus ENSACIG00000006689
poecilia_formosa ENSPFOG00000022113
poecilia_latipinna ENSPLAG00000023698
poecilia_mexicana ENSPMEG00000011678
poecilia_reticulata ENSPREG00000012106
xiphophorus_maculatus ENSXMAG00000027010
xiphophorus_couchianus ENSXCOG00000015044
gambusia_affinis ENSGAFG00000006168
cyprinodon_variegatus ENSCVAG00000016548
oryzias_latipes_asm223467v1 ENSORLG00000005055
oryzias_latipes_asm223471v1 ENSORLG00020014755
oryzias_latipes_asm223469v1 ENSORLG00015005678
oryzias_melastigma ENSOMEG00000003222
takifugu_rubripes ENSTRUG00000006283
tetraodon_nigroviridis ENSTNIG00000004549
mola_mola ENSMMOG00000008034
cynoglossus_semilaevis ENSCSEG00000015918
seriola_lalandi_dorsalis ENSSLDG00000006371
fundulus_heteroclitus ENSFHEG00000000957
gasterosteus_aculeatus ENSGACG00000003734
hippocampus_comes ENSHCOG00000014822
mastacembelus_armatus ENSMAMG00000017483
seriola_dumerili ENSSDUG00000009549
seriola_lalandi_dorsalis ENSSLDG00000010388
kryptolebias_marmoratus ENSKMAG00000021852
anabas_testudineus ENSATEG00000011232
labrus_bergylta ENSLBEG00000003338
scophthalmus_maximus ENSSMAG00000017959
periophthalmus_magnuspinnatus ENSPMGG00000022126
gadus_morhua ENSGMOG00000006505
pygocentrus_nattereri ENSPNAG00000005367
astyanax_mexicanus ENSAMXG00000032396
ictalurus_punctatus ENSIPUG00000022854
danio_rerio ENSDARG00000004251
esox_lucius ENSELUG00000006861
latimeria_chalumnae ENSLACG00000006850
xenopus_tropicalis ENSXETG00000022939
petromyzon_marinus ENSPMAG00000007362
eptatretus_burgeri ENSEBUG00000005044
