haplochromis_burtoni ENSHBUG00000020322
pundamilia_nyererei ENSPNYG00000000033
neolamprologus_brichardi ENSNBRG00000000303
amphilophus_citrinellus ENSACIG00000022358
cynoglossus_semilaevis ENSCSEG00000020298
poecilia_latipinna ENSPLAG00000009831
poecilia_reticulata ENSPREG00000003010
xiphophorus_maculatus ENSXMAG00000027917
kryptolebias_marmoratus ENSKMAG00000006993
oryzias_latipes_asm223469v1 ENSORLG00015000457
oryzias_latipes_asm223471v1 ENSORLG00020020474
oryzias_melastigma ENSOMEG00000018976
oryzias_latipes_asm223467v1 ENSORLG00000027299
hippocampus_comes ENSHCOG00000003965
monopterus_albus ENSMALG00000013122
periophthalmus_magnuspinnatus ENSPMGG00000004308
seriola_lalandi_dorsalis ENSSLDG00000024423
scleropages_formosus ENSSFOG00015000651
serinus_canaria ENSSCAG00000013771
