marmota_marmota_marmota ENSMMMG00000023111
spermophilus_dauricus ENSSDAG00000005632
urocitellus_parryii ENSUPAG00010001728
ictidomys_tridecemlineatus ENSSTOG00000005224
cricetulus_griseus_crigri_1.0 ENSCGRG00000000115
cricetulus_griseus_crigri-picr ENSCGRG00015021647
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010778
mesocricetus_auratus ENSMAUG00000019996
microtus_ochrogaster ENSMOCG00000000835
peromyscus_maniculatus_bairdii ENSPEMG00000028157
mus_spicilegus ENSMSIG00000018351
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021011
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055745
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020114
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020120
rattus_norvegicus ENSRNOG00000021671
meriones_unguiculatus ENSMUGG00000000069
nannospalax_galili ENSNGAG00000015474
jaculus_jaculus ENSJJAG00000005777
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009280
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021073
chinchilla_lanigera ENSCLAG00000018095
octodon_degus ENSODEG00000020364
castor_canadensis ENSCCNG00000027551
rhinopithecus_bieti ENSRBIG00000001035
rhinopithecus_roxellana ENSRROG00000022066
piliocolobus_tephrosceles ENSPTEG00000034862
colobus_angolensis_palliatus ENSCANG00000007801
macaca_fascicularis ENSMFAG00000029989
macaca_mulatta ENSMMUG00000044978
macaca_nemestrina ENSMNEG00000018761
theropithecus_gelada ENSTGEG00000005034
papio_anubis ENSPANG00000016849
mandrillus_leucophaeus ENSMLEG00000027218
cercocebus_atys ENSCATG00000021471
chlorocebus_sabaeus ENSCSAG00000019286
pan_paniscus ENSPPAG00000032871
pan_troglodytes ENSPTRG00000029412
homo_sapiens ENSG00000188636
pongo_abelii ENSPPYG00000011922
nomascus_leucogenys ENSNLEG00000018670
cebus_capucinus_imitator ENSCCAG00000020482
callithrix_jacchus ENSCJAG00000022802
aotus_nancymaae ENSANAG00000019691
carlito_syrichta ENSTSYG00000012471
propithecus_coquereli ENSPCOG00000025210
prolemur_simus ENSPSMG00000011474
microcebus_murinus ENSMICG00000031689
otolemur_garnettii ENSOGAG00000003460
ursus_maritimus ENSUMAG00000019932
ursus_americanus ENSUAMG00000025088
ailuropoda_melanoleuca ENSAMEG00000019335
neovison_vison ENSNVIG00000021481
mustela_putorius_furo ENSMPUG00000019588
panthera_tigris_altaica ENSPTIG00000007807
panthera_pardus ENSPPRG00000020941
felis_catus ENSFCAG00000028859
bos_mutus ENSBMUG00000005321
bos_taurus ENSBTAG00000012425
bison_bison_bison ENSBBBG00000002629
capra_hircus ENSCHIG00000003869
tursiops_truncatus ENSTTRG00000012444
sus_scrofa ENSSSCG00000000022
canis_lupus_dingo ENSCAFG00020009551
canis_lupus_familiaris ENSCAFG00000000870
vulpes_vulpes ENSVVUG00000028629
equus_caballus ENSECAG00000001294
equus_asinus_asinus ENSEASG00005021804
myotis_lucifugus ENSMLUG00000004433
loxodonta_africana ENSLAFG00000004390
procavia_capensis ENSPCAG00000011774
dasypus_novemcinctus ENSDNOG00000049078
