mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044022
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023087
mus_spicilegus ENSMSIG00000001774
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022177
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018911
rattus_norvegicus ENSRNOG00000033479
meriones_unguiculatus ENSMUGG00000024166
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010379
cricetulus_griseus_crigri-picr ENSCGRG00015000172
mesocricetus_auratus ENSMAUG00000020032
jaculus_jaculus ENSJJAG00000023381
dipodomys_ordii ENSDORG00000011185
ictidomys_tridecemlineatus ENSSTOG00000030063
spermophilus_dauricus ENSSDAG00000019210
chinchilla_lanigera ENSCLAG00000012552
octodon_degus ENSODEG00000011579
oryctolagus_cuniculus ENSOCUG00000010930
papio_anubis ENSPANG00000003993
theropithecus_gelada ENSTGEG00000026676
mandrillus_leucophaeus ENSMLEG00000031899
macaca_mulatta ENSMMUG00000042697
macaca_fascicularis ENSMFAG00000031666
piliocolobus_tephrosceles ENSPTEG00000027505
pan_troglodytes ENSPTRG00000045415
propithecus_coquereli ENSPCOG00000026827
capra_hircus ENSCHIG00000013382
bos_taurus ENSBTAG00000030474
sus_scrofa ENSSSCG00000040956
equus_caballus ENSECAG00000005655
equus_asinus_asinus ENSEASG00005018125
ursus_americanus ENSUAMG00000000258
ursus_maritimus ENSUMAG00000012742
canis_lupus_dingo ENSCAFG00020021243
vulpes_vulpes ENSVVUG00000017412
panthera_pardus ENSPPRG00000016278
felis_catus ENSFCAG00000042444
myotis_lucifugus ENSMLUG00000001794
pteropus_vampyrus ENSPVAG00000002367
